Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2016-01-01,148.71,0.48,0.32,142.00,5.56,5.56,,,,4.00,72.71
BON,2016-01-02,151.07,0.52,0.34,148.10,5.00,5.00,,,,5.00,72.86
BON,2016-01-03,150.57,0.49,0.32,151.70,4.44,4.44,,,,7.00,72.51
BON,2016-01-04,148.30,0.48,0.32,157.20,4.44,4.44,,,,5.00,73.32
BON,2016-01-05,147.73,0.50,0.34,150.50,4.44,4.44,,,,7.00,73.35
BON,2016-01-06,148.01,0.49,0.33,146.30,3.89,3.89,,,,7.00,73.88
BON,2016-01-07,142.32,0.48,0.34,142.40,3.89,3.89,,,,7.00,73.81
BON,2016-01-08,148.82,0.48,0.32,150.70,3.89,3.89,,,,7.00,73.85
BON,2016-01-09,136.41,0.48,0.35,143.30,3.89,3.89,,,,7.00,74.29
BON,2016-01-10,136.19,0.50,0.37,128.30,3.89,3.89,,,,7.00,74.17
BON,2016-01-11,157.44,0.50,0.32,164.40,3.33,3.33,,,,7.00,74.23
BON,2016-01-12,145.50,0.49,0.34,147.50,3.33,3.33,,,,7.00,74.15
BON,2016-01-13,150.81,0.51,0.34,146.20,3.33,3.33,,,,7.00,74.30
BON,2016-01-14,131.61,0.48,0.36,143.20,3.33,3.33,,,,7.00,74.86
BON,2016-01-15,136.69,0.48,0.35,137.80,3.33,3.33,,,,7.00,75.30
BON,2016-01-16,160.35,0.50,0.31,159.00,3.33,3.33,,,,7.00,75.48
BON,2016-01-17,136.91,0.49,0.36,146.10,3.33,3.33,,,,7.00,75.87
BON,2016-01-18,125.18,0.48,0.39,120.10,3.33,3.33,,,,7.00,76.58
BON,2016-01-19,152.58,1.73,1.13,147.30,3.33,3.33,,,,7.00,75.63
BON,2016-01-20,141.80,0.53,0.37,142.80,3.89,3.89,,,,7.00,75.58
BON,2016-01-21,150.81,0.53,0.35,147.10,3.89,3.89,,,,7.00,75.49
BON,2016-01-22,123.73,0.58,0.46,116.20,3.89,3.89,,,,,74.62
BON,2016-01-23,135.19,0.53,0.39,139.70,3.89,3.89,,,,6.00,74.53
BON,2016-01-24,152.38,0.53,0.34,152.60,4.44,4.44,,,,6.00,74.65
BON,2016-01-25,178.18,0.53,0.29,172.60,4.44,4.44,,,,6.00,73.95
BON,2016-01-26,177.42,0.53,0.30,172.50,5.00,5.00,,,,7.00,73.33
BON,2016-01-27,157.31,0.53,0.33,160.30,5.00,5.00,,,,7.00,73.22
BON,2016-01-28,173.31,0.53,0.30,177.30,5.00,5.00,,,,6.00,73.94
BON,2016-01-29,179.34,0.53,0.30,174.60,5.56,5.56,,,,7.00,74.00
BON,2016-01-30,181.08,0.53,0.29,188.80,5.00,5.00,,,,7.00,73.97
BON,2016-01-31,196.85,0.53,0.27,192.20,5.56,5.56,,,,7.00,74.36
BON,2016-02-01,173.87,0.53,0.30,178.10,5.56,5.56,,,,6.00,74.29
BON,2016-02-02,176.82,0.53,0.30,167.90,5.56,5.56,,,,7.00,74.53
BON,2016-02-03,166.32,0.53,0.32,170.50,5.56,5.56,,,,7.00,73.95
BON,2016-02-04,166.49,0.53,0.32,172.10,5.56,5.56,,,,7.00,74.35
BON,2016-02-05,141.33,0.53,0.37,133.50,5.56,5.56,,,,5.50,74.51
BON,2016-02-06,117.51,0.57,0.49,127.50,5.56,5.56,,,,7.00,74.76
BON,2016-02-07,124.66,0.53,0.42,120.00,5.56,5.56,,,,7.00,74.64
BON,2016-02-08,140.12,0.55,0.39,147.10,5.00,5.00,,,,7.00,74.85
BON,2016-02-09,150.30,0.53,0.35,134.30,5.00,5.00,,,,7.00,74.33
BON,2016-02-10,147.84,0.53,0.36,155.80,5.00,5.00,,,,7.00,73.63
BON,2016-02-11,166.42,0.53,0.32,167.10,5.00,5.00,,,,7.00,74.00
BON,2016-02-12,178.46,0.53,0.29,176.60,5.00,5.00,,,,7.00,74.34
BON,2016-02-13,179.60,0.53,0.29,173.00,5.00,5.00,,,,7.00,73.78
BON,2016-02-14,157.40,0.53,0.33,162.40,5.00,5.00,,,,7.00,73.37
BON,2016-02-15,164.71,0.57,0.35,169.20,5.00,5.00,,,,6.00,73.93
BON,2016-02-16,193.63,0.58,0.30,198.90,5.00,5.00,,,,6.00,74.37
BON,2016-02-17,247.03,0.58,0.23,242.80,5.00,5.00,,,,5.00,74.66
BON,2016-02-18,220.42,0.60,0.27,217.60,5.56,5.56,,,,5.00,74.23
BON,2016-02-19,198.56,0.68,0.34,204.10,5.00,5.00,,,,,74.64
BON,2016-02-20,194.15,0.79,0.41,198.60,5.00,5.00,,,,7.00,74.65
BON,2016-02-21,234.47,0.90,0.38,223.80,5.00,5.00,,,,5.00,74.68
BON,2016-02-22,215.25,0.11,0.05,229.70,5.00,5.00,,,,4.00,74.58
BON,2016-02-23,207.12,0.57,0.27,196.20,5.00,5.00,,,,5.00,74.92
BON,2016-02-24,187.48,0.58,0.31,191.90,5.00,5.00,,,,5.00,74.50
BON,2016-02-25,201.70,0.79,0.39,202.80,5.00,5.00,,,,6.00,74.59
BON,2016-02-26,208.80,1.21,0.58,200.20,5.00,5.00,,,,5.00,74.30
BON,2016-02-27,176.43,1.18,0.67,175.30,5.00,5.00,,,,6.00,74.03
BON,2016-02-28,167.24,1.15,0.69,171.50,5.56,5.56,,,,5.00,73.87
BON,2016-02-29,181.20,1.16,0.64,180.80,5.56,5.56,,,,6.00,74.66
BON,2016-03-01,216.09,1.15,0.53,204.00,5.56,5.56,,,,5.00,73.53
BON,2016-03-02,212.79,1.24,0.58,211.10,5.56,5.56,,,,5.00,73.26
BON,2016-03-03,165.74,1.23,0.74,181.00,5.56,5.56,,,,4.00,74.03
BON,2016-03-04,204.63,1.24,0.61,195.90,5.56,5.56,,,,4.00,74.90
BON,2016-03-05,219.75,1.25,0.57,223.90,5.56,5.56,,,,5.00,73.65
BON,2016-03-06,216.51,1.24,0.57,217.40,5.56,5.56,,,,5.00,74.19
BON,2016-03-07,216.15,1.24,0.57,208.30,5.56,5.56,,,,6.00,73.74
BON,2016-03-08,216.29,1.23,0.57,211.30,5.60,,,,,,72.88
BON,2016-03-09,236.78,1.26,0.53,254.80,5.56,5.56,,,,6.00,73.51
BON,2016-03-10,247.22,14.86,6.01,238.30,5.56,5.56,,,,6.00,73.83
BON,2016-03-11,248.50,1.34,0.54,246.90,6.11,6.11,,,,4.00,73.83
BON,2016-03-12,247.07,1.24,0.50,250.10,6.11,6.11,,,,5.00,73.34
BON,2016-03-13,222.16,1.30,0.58,218.30,6.11,6.11,,,,5.00,73.55
BON,2016-03-14,201.00,1.24,0.62,217.40,6.11,6.11,,,,5.00,74.11
BON,2016-03-15,226.50,1.24,0.55,226.30,6.75,6.75,767.40,779.10,101.51,5.00,75.36
BON,2016-03-16,235.63,1.24,0.53,217.40,6.95,6.95,767.54,779.13,101.51,5.00,74.11
BON,2016-03-17,226.87,1.22,0.54,226.50,7.09,7.09,766.71,778.46,101.53,5.00,72.89
BON,2016-03-18,217.37,1.24,0.57,217.60,7.06,7.06,763.63,775.63,101.57,5.00,73.37
BON,2016-03-19,216.86,1.23,0.57,222.00,7.07,7.07,761.63,776.58,101.96,5.00,73.25
BON,2016-03-20,200.30,1.23,0.61,201.40,7.12,7.12,757.33,776.71,102.56,4.00,73.43
BON,2016-03-21,203.47,1.25,0.61,208.40,7.10,7.10,755.75,776.08,102.69,4.00,73.90
BON,2016-03-22,210.59,1.24,0.59,200.60,7.12,7.12,762.33,775.46,101.72,4.00,73.78
BON,2016-03-23,208.28,1.24,0.59,212.70,7.18,7.18,767.25,776.46,101.20,4.00,73.83
BON,2016-03-24,212.94,1.24,0.58,209.10,7.28,7.28,765.96,778.71,101.66,5.00,73.68
BON,2016-03-25,208.26,1.28,0.61,223.60,7.40,7.40,766.00,779.21,101.72,5.00,74.56
BON,2016-03-26,227.88,1.23,0.54,219.10,7.58,7.58,761.83,783.25,102.81,5.00,73.98
BON,2016-03-27,208.22,1.29,0.62,203.80,7.72,7.72,762.08,784.08,102.89,5.00,73.71
BON,2016-03-28,215.93,1.20,0.56,214.50,7.79,7.79,764.21,781.92,102.32,5.00,73.63
BON,2016-03-29,216.49,1.22,0.56,217.40,8.00,8.00,762.46,784.29,102.86,5.00,73.36
BON,2016-03-30,201.17,1.10,0.54,198.50,8.18,8.18,761.50,785.29,103.12,5.00,73.50
BON,2016-03-31,211.30,1.21,0.57,211.30,8.45,8.45,762.63,789.50,103.52,5.00,73.68
BON,2016-04-01,226.36,1.21,0.53,223.00,8.74,8.74,763.71,792.08,103.72,5.00,73.67
BON,2016-04-02,202.99,1.24,0.61,209.50,8.93,8.93,763.46,794.25,104.03,5.00,73.45
BON,2016-04-03,179.35,1.38,0.77,185.40,9.22,9.22,761.21,793.33,104.22,5.00,74.08
BON,2016-04-04,186.09,1.43,0.77,185.50,9.35,9.35,767.46,790.83,103.05,6.00,74.29
BON,2016-04-05,216.36,6.72,3.11,218.20,9.31,9.31,773.71,789.54,102.05,6.00,74.11
BON,2016-04-06,229.98,1.43,0.62,234.70,9.51,9.51,768.75,794.54,103.36,6.00,74.68
BON,2016-04-07,248.84,14.73,5.92,244.30,9.70,9.70,760.54,799.88,105.17,6.00,74.67
BON,2016-04-08,264.50,25.40,9.60,262.50,10.02,10.02,755.71,804.25,106.42,4.00,74.97
BON,2016-04-09,239.74,3.17,1.32,229.60,10.34,10.34,755.75,814.79,107.81,5.00,73.74
BON,2016-04-10,241.06,95.78,39.73,248.60,10.61,10.61,758.42,804.75,106.11,4.00,73.66
BON,2016-04-11,256.30,98.88,38.58,244.30,10.73,10.73,762.17,804.88,105.60,4.00,72.54
BON,2016-04-12,259.00,106.58,41.15,263.80,10.87,10.87,763.83,834.33,109.23,4.50,72.92
BON,2016-04-13,269.72,100.38,37.22,263.60,11.12,11.12,760.58,862.88,113.46,4.00,72.97
BON,2016-04-14,301.91,120.16,39.80,314.60,11.13,11.13,755.88,871.38,115.28,4.00,73.05
BON,2016-04-15,315.20,131.39,41.68,330.50,11.02,11.02,767.71,863.25,112.45,4.00,74.55
BON,2016-04-16,339.00,149.22,44.02,336.00,11.10,11.10,768.00,871.46,113.47,3.50,75.01
BON,2016-04-17,328.21,128.31,39.09,322.60,11.36,11.36,765.46,880.04,114.97,3.00,74.63
BON,2016-04-18,327.05,131.80,40.30,330.40,11.66,11.66,762.75,883.71,115.86,3.50,74.46
BON,2016-04-19,311.83,121.87,39.08,310.80,11.89,11.89,759.00,892.42,117.58,4.00,74.61
BON,2016-04-20,307.96,118.75,38.56,300.80,12.06,12.06,756.13,897.88,118.75,3.50,74.24
BON,2016-04-21,294.87,106.40,36.08,305.00,12.11,12.11,754.29,886.25,117.49,4.00,74.26
BON,2016-04-22,329.43,142.93,43.39,335.30,12.00,12.00,753.63,880.33,116.82,3.50,74.95
BON,2016-04-23,350.63,163.58,46.65,334.30,11.88,11.88,761.33,867.63,113.96,5.00,74.78
BON,2016-04-24,346.98,159.33,45.92,348.40,11.93,11.93,762.83,861.38,112.92,4.00,73.86
BON,2016-04-25,350.76,164.44,46.88,349.80,11.86,11.86,765.00,852.46,111.43,4.00,73.62
BON,2016-04-26,339.02,152.54,44.99,338.90,11.74,11.74,762.96,856.25,112.23,3.50,73.56
BON,2016-04-27,306.53,119.95,39.13,307.60,11.78,11.78,760.25,863.79,113.62,4.00,73.53
BON,2016-04-28,305.14,119.95,39.31,320.90,11.96,11.96,762.63,859.58,112.71,3.50,74.14
BON,2016-04-29,303.25,118.62,39.12,299.40,12.01,12.01,763.50,854.17,111.88,4.00,74.99
BON,2016-04-30,296.94,112.06,37.74,294.10,12.08,12.08,767.17,853.38,111.24,4.50,75.05
BON,2016-05-01,285.26,100.41,35.20,280.30,12.32,12.32,761.96,870.38,114.23,5.00,74.00
BON,2016-05-02,273.10,100.33,36.74,270.00,12.64,12.64,759.04,888.96,117.12,5.00,73.99
BON,2016-05-03,256.13,100.10,39.08,255.80,12.93,12.93,760.50,895.08,117.70,5.00,73.70
BON,2016-05-04,260.28,100.93,38.78,260.40,12.99,12.99,760.00,871.25,114.64,5.00,74.07
BON,2016-05-05,248.46,101.09,40.69,256.30,13.01,13.01,759.50,861.71,113.46,5.00,74.61
BON,2016-05-06,283.75,100.24,35.33,278.80,13.25,13.25,759.00,878.33,115.73,5.00,74.40
BON,2016-05-07,279.51,100.05,35.80,273.60,13.66,13.66,756.83,892.92,117.98,5.00,74.20
BON,2016-05-08,297.22,104.13,35.03,298.40,13.83,13.83,759.71,856.58,112.75,5.00,74.04
BON,2016-05-09,283.11,105.23,37.17,290.30,13.78,13.78,762.54,834.54,109.44,5.00,74.30
BON,2016-05-10,309.18,125.61,40.63,309.20,13.84,13.84,764.58,858.50,112.29,4.00,74.94
BON,2016-05-11,299.98,108.30,36.10,293.70,14.21,14.21,761.38,884.29,116.15,4.00,74.05
BON,2016-05-12,290.26,100.68,34.68,288.00,14.57,14.57,759.71,887.46,116.82,4.00,73.44
BON,2016-05-13,273.03,99.95,36.61,284.20,14.74,14.74,758.54,873.29,115.13,5.00,74.44
BON,2016-05-14,261.93,99.92,38.15,253.20,14.78,14.78,759.46,877.88,115.59,3.50,74.00
BON,2016-05-15,252.75,100.90,39.92,257.10,14.69,14.69,761.33,855.38,112.35,4.00,74.55
BON,2016-05-16,263.13,100.10,38.04,262.70,14.63,14.63,765.04,846.71,110.68,3.00,74.73
BON,2016-05-17,276.93,99.70,36.00,275.90,14.69,14.69,765.25,843.63,110.24,5.00,74.45
BON,2016-05-18,243.21,99.60,40.95,241.30,15.04,15.04,761.42,858.54,112.76,5.00,74.35
BON,2016-05-19,236.53,99.71,42.16,239.10,15.11,15.11,759.42,840.00,110.61,4.50,74.39
BON,2016-05-20,264.88,99.90,37.71,264.70,15.00,15.00,755.00,833.79,110.44,5.00,74.61
BON,2016-05-21,253.77,99.53,39.22,239.70,14.82,14.82,756.50,835.58,110.46,5.00,74.08
BON,2016-05-22,211.10,99.99,47.37,212.90,14.83,14.83,759.33,834.67,109.92,5.00,73.41
BON,2016-05-23,206.23,100.54,48.75,211.80,14.88,14.88,758.67,837.08,110.34,5.00,73.82
BON,2016-05-24,230.14,99.71,43.32,236.10,14.97,14.97,759.50,837.83,110.31,5.00,74.15
BON,2016-05-25,231.05,100.18,43.36,225.60,15.00,15.00,763.67,834.04,109.22,6.00,73.91
BON,2016-05-26,218.26,100.48,46.04,218.80,15.03,15.03,765.50,827.21,108.06,5.00,73.64
BON,2016-05-27,228.39,101.27,44.34,231.20,14.96,14.96,764.83,822.71,107.57,5.50,74.43
BON,2016-05-28,208.16,100.86,48.45,209.30,14.97,14.97,762.50,829.13,108.74,6.00,74.10
BON,2016-05-29,202.80,100.80,49.70,194.60,15.02,15.02,763.25,835.75,109.50,6.00,74.00
BON,2016-05-30,212.73,100.11,47.06,218.60,15.24,15.24,765.13,842.83,110.16,6.00,74.35
BON,2016-05-31,223.93,99.69,44.52,225.40,15.56,15.56,760.83,858.21,112.80,5.00,74.44
BON,2016-06-01,196.91,98.91,50.23,185.50,15.85,15.85,758.54,868.75,114.53,6.00,73.46
BON,2016-06-02,202.58,98.85,48.80,206.50,16.08,16.08,762.63,849.67,111.42,7.00,73.38
BON,2016-06-03,220.74,99.75,45.19,223.30,16.40,16.40,764.04,850.04,111.26,6.00,73.74
BON,2016-06-04,209.25,99.96,47.77,207.80,16.67,16.67,759.83,865.71,113.94,5.00,73.68
