Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2016-01-01,,2,1,18,8,,,,,,,,,
Bonneville,2016-01-02,,1,,21,9,,,,,,,,,
Bonneville,2016-01-03,,,,6,2,,,,,,,,,
Bonneville,2016-01-04,,,,15,7,,,,,,,,,
Bonneville,2016-01-05,,,,17,6,,,,,,,,,
Bonneville,2016-01-06,,-1,,6,1,,,,,,,,,
Bonneville,2016-01-07,,,,7,3,,,,,,,,,
Bonneville,2016-01-08,,1,,14,4,,,,,,,,,
Bonneville,2016-01-09,,,,,1,,,,,,,,,
Bonneville,2016-01-10,,,,1,-1,,,,,,,,,
Bonneville,2016-01-11,,,,4,1,,,,,,,,,
Bonneville,2016-01-12,,3,,,,,,,,,,,,
Bonneville,2016-01-13,,,,2,1,,,,,,,,,
Bonneville,2016-01-14,,,,5,2,,,,,,,,,
Bonneville,2016-01-15,,,1,2,2,,,,,,,,,
Bonneville,2016-01-16,,,,13,3,,,,,,,,,
Bonneville,2016-01-17,,,-1,11,3,,,,,,,,,
Bonneville,2016-01-18,,,,11,4,,,,,,,,,
Bonneville,2016-01-19,,,,12,2,,,,,,,,,
Bonneville,2016-01-20,,,,10,2,,,,,,,,,
Bonneville,2016-01-21,,,,13,8,,,,,,,,,
Bonneville,2016-01-22,,,,9,6,,,,,,,,,
Bonneville,2016-01-23,,,,22,7,,,,,,,,,
Bonneville,2016-01-24,,,,21,10,,,,,1,,,,
Bonneville,2016-01-25,,,,21,10,1,,,,,,,,
Bonneville,2016-01-26,,,,6,3,,,,,,,,,
Bonneville,2016-01-27,,,,3,,,,,,,,,,
Bonneville,2016-01-28,,,,8,6,,,,,,,,,
Bonneville,2016-01-29,,,,4,5,,,,,-2,,,,
Bonneville,2016-01-30,,,,11,6,,,,,,,,,
Bonneville,2016-01-31,,,,21,10,,,,,,,,,
Bonneville,2016-02-01,,,,14,6,,,,,,,,,
Bonneville,2016-02-02,,,,11,3,,,,,,,,,
Bonneville,2016-02-03,,,,10,1,,,,,,,,,
Bonneville,2016-02-04,,1,,4,2,,,,,,,,,
Bonneville,2016-02-05,,,,10,3,,,,,,,,,
Bonneville,2016-02-06,,,,13,4,,,,,,,,,
Bonneville,2016-02-07,,,,28,13,,,,,,,,,
Bonneville,2016-02-08,,,,9,5,,,,,,,,,
Bonneville,2016-02-09,,,,11,4,,,,,,,,,
Bonneville,2016-02-10,,1,,7,1,,,,,,,,,
Bonneville,2016-02-11,,,,5,3,,,,,,,,,
Bonneville,2016-02-12,,1,,15,7,,,,,,,,,
Bonneville,2016-02-13,,,,26,9,,,,,,,,,
Bonneville,2016-02-14,,,,28,12,,,,,,,,,
Bonneville,2016-02-15,,,,92,40,,,,,,,,,
Bonneville,2016-02-16,,1,,114,48,,,,,,,,,
Bonneville,2016-02-17,,,,51,17,,,,,,,,,
Bonneville,2016-02-18,,,,76,28,,,,,,,,,
Bonneville,2016-02-19,,,,62,32,,,,,,,,,
Bonneville,2016-02-20,,-1,,28,12,,,,,,,,,
Bonneville,2016-02-21,,,,38,14,,,,,,,,,
Bonneville,2016-02-22,,1,,37,21,,,,,,,,,
Bonneville,2016-02-23,,1,,33,13,,,,,,,,,
Bonneville,2016-02-24,,,,18,6,,,,,,,,,
Bonneville,2016-02-25,,,,21,4,,,,,,,,,
Bonneville,2016-02-26,,,,39,16,,,,,,,,,
Bonneville,2016-02-27,,,,27,12,,,,,,,,,
Bonneville,2016-02-28,,,,27,8,,,,,,,,,
Bonneville,2016-02-29,,,,38,14,,,,,,,,,
Bonneville,2016-03-01,,,,58,20,,,,,,,,,
Bonneville,2016-03-02,,2,,64,15,,,,,,,,,
Bonneville,2016-03-03,,1,,86,46,,,,,,,,,
Bonneville,2016-03-04,,4,,67,28,,,,,,,,,
Bonneville,2016-03-05,,3,,54,28,,,,,,,,,
Bonneville,2016-03-06,,1,,62,26,,,,,,,,,
Bonneville,2016-03-07,,5,,77,29,,,,,,,,,
Bonneville,2016-03-08,,2,,30,17,,,,,,,,,
Bonneville,2016-03-09,,2,,36,13,,,,,,,,,
Bonneville,2016-03-10,,2,,56,21,,,,,,,,,
Bonneville,2016-03-11,,2,,49,18,,,,,,,,,
Bonneville,2016-03-12,,2,,39,18,,,,,,,,,6.1
Bonneville,2016-03-13,,1,1,35,19,,,,,,,,,6.1
Bonneville,2016-03-14,,1,,91,51,,,,,,,,,
Bonneville,2016-03-15,Sp,1,,22,12,,,,,,,,,6.8
Bonneville,2016-03-16,Sp,8,,49,27,,,,,,,,,7
