Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2017-01-01,,,,5,3,,,,,,,,,3.9
Bonneville,2017-01-02,,,,4,1,,,,,,,,,4.4
Bonneville,2017-01-03,,,,3,2,,,,,,,,,4.4
Bonneville,2017-01-04,,,,7,2,,,,,,,,,3.9
Bonneville,2017-01-05,,,,3,3,,,,,,,,,3.9
Bonneville,2017-01-06,,,,,,,,,,,,,,3.9
Bonneville,2017-01-07,,,,1,,,,,,,,,,3.3
Bonneville,2017-01-08,,,,1,1,,,,,,,,,2.8
Bonneville,2017-01-09,,,,6,3,,,,,,,,,2.8
Bonneville,2017-01-10,,,,1,1,,,,,,,,,2.2
Bonneville,2017-01-11,,,,1,,,,,,,,,,2.2
Bonneville,2017-01-12,,,,,,,,,,,,,,2.2
Bonneville,2017-01-13,,,,-1,,,,,,,,,,
Bonneville,2017-01-14,,,,1,,,,,,,,,,1.7
Bonneville,2017-01-15,,,,,,,,,,,,,,1.1
Bonneville,2017-01-16,,,,,-1,,,,,,,,,0.6
Bonneville,2017-01-17,,,,2,2,,,,,,,,,0.6
Bonneville,2017-01-18,,,,,,,,,,,,,,0.6
Bonneville,2017-01-19,,,,1,,,,,,,,,,0.6
Bonneville,2017-01-20,,,,,,,,,,,,,,0.6
Bonneville,2017-01-21,,,,2,,,,,,,,,,0.6
Bonneville,2017-01-22,,,,-1,1,,,,,,,,,
Bonneville,2017-01-23,,,,-1,,,,,,,,,,0.6
Bonneville,2017-01-24,,,,-1,,,,,,,,,,0.6
Bonneville,2017-01-25,,,,2,,,,,,,,,,0.6
Bonneville,2017-01-26,,,,1,1,,,,,,,,,1.1
Bonneville,2017-01-27,,,,4,1,,,,,,,,,1.1
Bonneville,2017-01-28,,,,1,1,,,,,,,,,1.1
Bonneville,2017-01-29,,,,,,,,,,,,,,1.1
Bonneville,2017-01-30,,,,,,,,,,,,,,1.1
Bonneville,2017-01-31,,,,,,,,,,,,,,1.7
Bonneville,2017-02-01,,,,3,,,,,,,,,,1.7
Bonneville,2017-02-02,,,,-1,,,,,,,,,,1.7
Bonneville,2017-02-03,,,,,,,,,,,,,,1.1
Bonneville,2017-02-04,,,,,,,,,,,,,,1.1
Bonneville,2017-02-05,,,,4,1,,,,,,,,,1.1
Bonneville,2017-02-06,,,,5,,,,,,,,,,1.1
Bonneville,2017-02-07,,,,4,4,,,,,,,,,1.1
Bonneville,2017-02-08,,,,4,3,,,,,,,,,1.7
Bonneville,2017-02-09,,,,3,,,,,,,,,,
Bonneville,2017-02-10,,,,13,5,,,,,,,,,
Bonneville,2017-02-11,,1,,8,5,,,,,,,,,
Bonneville,2017-02-12,,,,13,6,,,,,,,,,2.2
Bonneville,2017-02-13,,,,15,9,,,,,,,,,2.2
Bonneville,2017-02-14,,,,9,4,,,,,,,,,2.2
Bonneville,2017-02-15,,,,5,1,,,,,,,,,2.2
Bonneville,2017-02-16,,,,9,3,,,,,,,,,1.7
Bonneville,2017-02-17,,,,21,6,,,,,,,,,1.7
Bonneville,2017-02-18,,,,6,4,,,,,,,,,1.7
Bonneville,2017-02-19,,,,6,2,,,,,,,,,2.2
Bonneville,2017-02-20,,,,10,4,,,,,,,,,1.7
Bonneville,2017-02-21,,,,23,10,,,,,,,,,2.2
Bonneville,2017-02-22,,,,22,6,,,,,,,,,2.2
Bonneville,2017-02-23,,,,17,4,,,,,,,,,2.2
Bonneville,2017-02-24,,,,15,8,,,,,,,,,2.8
Bonneville,2017-02-25,,,,11,5,,,,,,,,,3.3
Bonneville,2017-02-26,,,,27,17,,,,,,,,,2.8
