Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2012-01-01,177.49,0.50,0.28,174.00,5.56,5.56,,,,3.00,73.80
BON,2012-01-02,117.68,0.64,0.54,126.60,5.56,5.56,,,,2.50,74.14
BON,2012-01-03,150.69,0.50,0.33,148.00,5.56,5.56,,,,4.00,74.70
BON,2012-01-04,165.95,0.48,0.29,167.20,5.56,5.56,,,,6.00,74.31
BON,2012-01-05,151.49,0.50,0.33,146.40,5.00,5.00,,,,6.00,73.82
BON,2012-01-06,138.73,0.48,0.35,144.60,5.56,5.56,,,,7.00,74.27
BON,2012-01-07,125.45,0.51,0.41,121.20,5.56,5.56,,,,7.00,74.65
BON,2012-01-08,128.32,0.48,0.37,120.30,5.56,5.56,,,,7.00,73.23
BON,2012-01-09,138.96,0.48,0.34,145.80,5.00,5.00,,,,7.00,73.37
BON,2012-01-10,137.87,0.48,0.35,144.60,5.00,5.00,,,,7.00,73.87
BON,2012-01-11,165.02,1.51,0.91,164.40,5.56,5.56,,,,7.00,74.22
BON,2012-01-12,147.93,0.48,0.32,131.80,5.00,5.00,,,,7.00,73.77
BON,2012-01-13,138.76,0.48,0.35,149.40,5.00,5.00,,,,6.50,73.58
BON,2012-01-14,129.37,0.49,0.38,118.10,4.44,4.44,,,,7.00,73.37
BON,2012-01-15,128.56,0.44,0.34,131.70,4.44,4.44,,,,7.00,72.68
BON,2012-01-16,143.19,0.48,0.33,144.90,4.44,4.44,,,,7.00,73.36
BON,2012-01-17,134.19,0.48,0.36,140.40,3.33,3.33,,,,7.00,73.73
BON,2012-01-18,165.92,0.48,0.29,170.60,3.33,3.33,,,,7.00,73.53
BON,2012-01-19,172.44,0.48,0.28,180.40,3.89,3.89,,,,6.00,74.23
BON,2012-01-20,180.15,0.53,0.29,177.20,3.33,3.33,,,,4.00,75.20
BON,2012-01-21,167.15,0.53,0.31,169.20,3.89,3.89,,,,6.00,74.97
BON,2012-01-22,152.89,0.52,0.34,141.90,3.89,3.89,,,,4.50,74.53
BON,2012-01-23,151.16,0.53,0.35,160.10,3.33,3.33,,,,7.00,74.43
BON,2012-01-24,174.50,0.53,0.30,162.40,3.33,3.33,,,,7.00,74.46
BON,2012-01-25,149.86,0.53,0.35,161.60,3.33,3.33,,,,6.50,73.99
BON,2012-01-26,157.70,0.59,0.37,150.20,3.89,3.89,,,,7.00,73.82
BON,2012-01-27,172.42,0.64,0.37,171.40,3.89,3.89,,,,7.00,73.81
BON,2012-01-28,171.83,0.50,0.29,166.20,3.33,3.33,,,,,73.99
BON,2012-01-29,148.18,0.53,0.36,149.70,3.33,3.33,,,,6.50,73.95
BON,2012-01-30,137.70,0.53,0.39,147.40,3.33,3.33,,,,5.00,74.26
BON,2012-01-31,152.95,0.53,0.35,150.00,3.33,3.33,,,,6.50,74.68
BON,2012-02-01,150.21,0.53,0.35,139.90,3.33,3.33,,,,6.50,73.92
BON,2012-02-02,139.25,0.50,0.36,151.20,3.33,3.33,,,,6.50,73.99
BON,2012-02-03,139.95,0.53,0.38,136.20,3.33,3.33,,,,6.50,74.23
BON,2012-02-04,139.10,0.53,0.38,138.50,3.33,3.33,,,,5.00,74.10
BON,2012-02-05,137.76,0.53,0.38,134.50,3.33,3.33,,,,5.00,74.03
BON,2012-02-06,136.32,0.53,0.39,143.20,3.33,3.33,,,,5.50,73.72
BON,2012-02-07,142.20,0.53,0.37,141.30,3.33,3.33,,,,6.00,74.46
BON,2012-02-08,146.34,0.53,0.36,140.70,3.33,3.33,,,,4.50,73.98
BON,2012-02-09,130.09,0.53,0.41,132.30,2.78,2.78,,,,7.00,73.98
BON,2012-02-10,134.22,0.53,0.39,134.20,3.33,3.33,,,,6.00,73.53
BON,2012-02-11,139.76,0.53,0.38,143.50,3.33,3.33,,,,7.00,74.42
BON,2012-02-12,136.84,0.53,0.38,142.50,3.89,3.89,,,,5.00,74.74
BON,2012-02-13,137.97,0.53,0.38,138.30,3.33,3.33,,,,6.00,74.80
BON,2012-02-14,155.48,0.53,0.34,144.00,3.89,3.89,,,,6.50,74.48
BON,2012-02-15,148.72,0.60,0.40,156.20,3.89,3.89,,,,6.00,74.42
BON,2012-02-16,170.31,0.65,0.38,171.90,3.89,3.89,,,,5.50,74.39
BON,2012-02-17,138.20,0.56,0.40,132.60,3.89,3.89,,,,5.60,74.32
BON,2012-02-18,125.55,0.58,0.46,128.80,3.89,3.89,,,,5.00,74.28
BON,2012-02-19,128.59,0.57,0.44,132.40,3.89,3.89,,,,5.80,74.28
BON,2012-02-20,147.93,0.57,0.39,144.20,3.33,3.33,,,,6.00,74.56
BON,2012-02-21,133.59,0.59,0.44,138.40,3.33,3.33,,,,7.00,74.60
BON,2012-02-22,149.80,0.65,0.43,144.80,3.89,3.89,,,,6.50,74.65
BON,2012-02-23,201.51,1.14,0.57,196.30,4.44,4.44,,,,4.00,73.74
BON,2012-02-24,168.38,1.15,0.68,178.70,4.44,4.44,,,,4.00,74.27
BON,2012-02-25,133.00,1.14,0.86,134.90,4.44,4.44,,,,4.50,75.17
BON,2012-02-26,162.27,1.16,0.72,155.90,4.44,4.44,,,,5.00,75.13
BON,2012-02-27,177.22,1.16,0.65,180.10,9.30,9.30,761.00,,,5.00,74.74
BON,2012-02-28,182.25,1.15,0.63,175.50,4.44,4.44,,,,6.00,74.76
BON,2012-02-29,149.45,1.45,0.97,148.70,4.44,4.44,,,,6.00,73.95
BON,2012-03-01,135.25,1.32,0.98,142.70,4.44,4.44,,,,7.00,74.30
BON,2012-03-02,157.52,2.30,1.46,158.90,4.44,4.44,,,,6.00,75.06
BON,2012-03-03,153.94,2.30,1.49,151.00,4.44,4.44,,,,6.00,74.54
BON,2012-03-04,151.54,2.30,1.52,155.10,4.44,4.44,,,,6.00,74.94
BON,2012-03-05,153.51,2.08,1.36,150.00,4.44,4.44,,,,6.00,74.98
BON,2012-03-06,157.95,1.37,0.87,152.60,5.00,5.00,,,,6.00,74.34
BON,2012-03-07,180.38,2.30,1.28,182.30,5.56,5.56,,,,5.00,74.12
BON,2012-03-08,171.02,1.97,1.15,172.70,5.56,5.56,,,,6.00,74.49
BON,2012-03-09,176.12,1.09,0.62,167.00,5.56,5.56,,,,6.00,73.94
BON,2012-03-10,149.58,1.24,0.83,156.50,5.56,5.56,,,,6.00,73.98
BON,2012-03-11,154.74,1.29,0.83,152.50,5.00,5.00,,,,7.00,74.15
BON,2012-03-12,180.71,0.69,0.38,176.90,5.56,5.56,,,,7.00,73.68
BON,2012-03-13,191.66,0.80,0.42,200.40,5.56,5.56,,,,6.00,74.77
BON,2012-03-14,202.07,1.25,0.62,201.00,5.19,5.19,756.37,774.00,102.33,6.00,74.70
BON,2012-03-15,199.52,1.35,0.68,201.80,5.16,5.16,752.75,775.12,102.97,6.20,74.20
BON,2012-03-16,218.38,1.28,0.59,218.80,5.42,5.42,750.16,783.25,104.41,5.80,74.09
BON,2012-03-17,223.25,1.23,0.55,214.90,5.81,5.81,748.41,784.91,104.88,5.10,73.80
BON,2012-03-18,217.47,1.24,0.57,225.40,5.96,5.96,752.41,781.91,103.92,5.20,74.00
BON,2012-03-19,223.60,1.33,0.59,222.70,5.86,5.86,757.46,779.25,102.88,5.00,74.06
BON,2012-03-20,202.55,1.24,0.61,196.30,5.71,5.71,755.96,778.04,102.92,6.00,73.81
BON,2012-03-21,231.00,1.24,0.54,235.80,5.68,5.68,759.12,773.58,101.91,5.20,73.68
BON,2012-03-22,243.74,1.23,0.51,240.90,5.71,5.71,759.37,776.62,102.27,6.00,74.00
BON,2012-03-23,232.12,1.23,0.53,243.50,5.89,5.89,759.66,785.66,103.42,6.00,74.20
BON,2012-03-24,253.94,1.24,0.49,248.10,6.10,6.10,758.12,789.08,104.08,5.00,75.42
BON,2012-03-25,260.78,1.24,0.47,260.80,6.23,6.23,754.08,788.29,104.54,4.50,74.65
BON,2012-03-26,253.23,17.57,6.94,229.80,6.33,6.33,755.04,785.83,104.08,6.00,73.66
BON,2012-03-27,239.36,37.24,15.56,249.40,6.39,6.39,751.66,786.33,104.61,4.00,73.68
BON,2012-03-28,289.47,28.69,9.91,293.90,6.34,6.34,754.46,792.75,105.07,4.00,73.39
BON,2012-03-29,294.01,34.87,11.86,308.90,6.42,6.42,750.62,813.33,108.36,4.00,74.03
BON,2012-03-30,332.65,65.88,19.80,334.90,6.37,6.37,751.29,835.87,111.26,4.00,75.44
BON,2012-03-31,366.26,97.83,26.71,334.20,6.43,6.43,747.33,848.46,113.53,3.00,73.71
BON,2012-04-01,343.93,125.01,36.35,358.00,6.50,6.50,759.58,845.79,111.36,2.00,72.34
BON,2012-04-02,346.99,134.05,38.63,336.90,6.80,6.80,764.75,857.04,112.08,3.00,72.97
BON,2012-04-03,346.05,136.51,39.45,349.10,6.92,6.92,758.29,899.58,118.63,2.50,72.37
BON,2012-04-04,329.17,124.55,37.84,328.50,7.02,7.02,760.83,908.21,119.37,3.00,72.75
BON,2012-04-05,284.69,76.26,26.79,306.40,6.96,6.96,763.50,887.25,116.21,3.00,73.58
BON,2012-04-06,299.26,82.87,27.69,311.00,7.01,7.01,766.46,893.50,116.58,3.00,75.44
BON,2012-04-07,337.37,108.72,32.23,317.60,7.02,7.02,764.91,889.25,116.25,3.00,74.56
BON,2012-04-08,326.92,98.99,30.28,311.80,7.20,7.20,761.91,888.46,116.61,5.00,73.13
BON,2012-04-09,297.82,82.64,27.75,295.70,7.51,7.51,757.58,898.12,118.55,2.00,72.32
BON,2012-04-10,259.48,98.15,37.83,285.90,7.73,7.73,753.96,891.29,118.22,2.50,73.90
BON,2012-04-11,313.88,114.51,36.48,299.10,7.90,7.90,752.46,871.16,115.78,2.00,74.30
BON,2012-04-12,310.29,102.00,32.87,307.10,7.96,7.96,753.91,869.04,115.27,2.00,73.50
BON,2012-04-13,302.72,94.40,31.19,300.90,8.02,8.02,754.29,876.58,116.21,2.00,73.72
BON,2012-04-14,323.61,92.68,28.64,331.30,8.21,8.21,760.91,871.00,114.47,2.80,73.09
BON,2012-04-15,302.45,92.94,30.73,307.10,8.44,8.44,763.46,860.62,112.73,2.80,73.46
BON,2012-04-16,290.59,94.46,32.51,289.70,8.61,8.61,761.50,876.96,115.16,3.00,74.13
BON,2012-04-17,308.75,94.87,30.73,305.10,8.47,8.47,763.25,877.12,114.92,3.50,73.68
BON,2012-04-18,311.63,94.90,30.45,310.40,8.38,8.38,761.08,880.54,115.70,4.00,73.70
BON,2012-04-19,323.23,94.87,29.35,319.30,8.61,8.61,762.29,880.04,115.45,4.00,73.02
BON,2012-04-20,317.78,95.37,30.01,333.70,8.85,8.85,763.54,879.50,115.19,4.00,73.68
BON,2012-04-21,321.18,94.96,29.57,325.70,9.14,9.14,761.33,887.83,116.62,4.00,73.95
BON,2012-04-22,331.04,104.97,31.71,331.60,9.56,9.56,757.00,889.12,117.45,4.00,74.93
BON,2012-04-23,362.08,132.50,36.60,343.00,9.89,9.89,754.87,889.00,117.77,4.00,74.47
BON,2012-04-24,366.21,137.51,37.55,367.50,10.21,10.21,757.25,883.41,116.66,4.00,73.15
BON,2012-04-25,384.15,157.81,41.08,382.50,10.45,10.45,753.75,908.00,120.47,3.00,72.58
BON,2012-04-26,444.32,230.70,51.92,444.10,10.54,10.54,753.62,904.83,120.07,3.00,74.08
BON,2012-04-27,418.23,211.87,50.66,417.20,10.59,10.59,765.83,893.04,116.61,3.00,72.57
BON,2012-04-28,424.94,219.79,51.72,441.00,10.77,10.77,765.50,897.83,117.29,2.00,74.12
BON,2012-04-29,419.07,210.99,50.35,399.50,10.98,10.98,760.75,907.04,119.23,2.00,73.62
BON,2012-04-30,399.99,182.73,45.68,398.60,11.04,11.04,755.21,882.25,116.82,3.00,72.50
BON,2012-05-01,405.33,165.95,40.94,409.90,10.98,10.98,759.41,879.29,115.79,3.00,72.51
BON,2012-05-02,420.86,186.24,44.25,414.40,11.05,11.05,758.00,906.33,119.57,2.90,72.68
BON,2012-05-03,404.10,176.12,43.58,422.00,11.21,11.21,753.08,915.29,121.54,2.00,73.89
BON,2012-05-04,419.95,192.08,45.74,418.20,11.20,11.20,764.08,899.08,117.67,2.50,73.51
BON,2012-05-05,389.46,168.57,43.28,397.00,10.94,10.94,771.50,887.12,114.99,6.00,74.05
BON,2012-05-06,395.44,173.98,44.00,388.90,10.88,10.88,769.50,903.12,117.37,2.00,74.76
BON,2012-05-07,369.93,154.69,41.82,367.30,10.89,10.89,764.91,915.50,119.69,7.00,73.63
BON,2012-05-08,351.39,128.13,36.46,340.70,11.05,11.05,761.54,917.08,120.43,3.00,73.42
BON,2012-05-09,337.83,114.58,33.92,356.70,11.00,11.00,765.46,873.50,114.12,3.00,73.58
BON,2012-05-10,357.02,129.20,36.19,341.90,10.81,10.81,767.96,891.96,116.15,3.00,73.69
BON,2012-05-11,352.98,119.25,33.78,373.60,10.96,10.96,764.54,907.62,118.71,3.00,73.95
BON,2012-05-12,351.98,133.87,38.03,348.70,11.31,11.31,763.29,893.33,117.04,2.80,74.56
BON,2012-05-13,331.93,118.20,35.61,333.00,11.66,11.66,761.08,893.25,117.37,2.80,75.02
BON,2012-05-14,307.80,100.37,32.61,297.20,12.12,12.12,758.16,893.91,117.90,2.40,73.55
BON,2012-05-15,335.71,123.83,36.89,336.50,12.61,12.61,760.16,880.71,115.86,2.50,73.40
BON,2012-05-16,333.47,113.23,33.95,334.00,12.74,12.74,760.46,865.08,113.76,3.50,73.97
BON,2012-05-17,345.86,112.50,32.53,350.10,12.71,12.71,760.37,858.71,112.93,4.00,74.07
BON,2012-05-18,379.56,140.10,36.91,391.60,12.84,12.84,762.62,863.33,113.21,3.00,74.85
BON,2012-05-19,391.43,155.74,39.79,394.20,13.14,13.14,761.04,879.91,115.62,3.50,75.50
BON,2012-05-20,377.50,140.07,37.10,358.10,13.51,13.51,759.66,898.66,118.30,3.50,74.16
BON,2012-05-21,375.20,144.42,38.49,369.20,13.65,13.65,756.91,881.12,116.41,6.00,73.46
BON,2012-05-22,347.93,128.39,36.90,362.90,13.58,13.58,758.66,861.46,113.55,4.00,73.71
BON,2012-05-23,377.56,148.13,39.23,370.20,13.53,13.53,760.46,862.79,113.46,3.00,73.95
BON,2012-05-24,382.14,143.76,37.62,388.40,13.53,13.53,756.16,882.71,116.74,3.50,74.19
BON,2012-05-25,366.06,126.28,34.50,365.30,13.42,13.42,755.12,871.46,115.41,3.00,74.73
BON,2012-05-26,373.96,135.43,36.22,366.70,13.32,13.32,757.16,862.54,113.92,4.00,74.67
BON,2012-05-27,328.18,99.78,30.40,330.80,13.13,13.13,760.75,853.16,112.15,3.50,74.06
BON,2012-05-28,320.50,99.64,31.09,330.20,13.10,13.10,761.50,860.91,113.06,4.00,74.31
BON,2012-05-29,299.88,99.53,33.19,293.30,13.21,13.21,762.46,869.71,114.07,3.00,74.33
BON,2012-05-30,320.88,99.44,30.99,322.40,13.35,13.35,763.75,871.83,114.15,4.00,74.52
BON,2012-05-31,287.95,97.74,33.94,286.60,13.48,13.48,762.16,883.71,115.95,4.00,73.90
BON,2012-06-01,292.92,95.40,32.57,283.80,13.75,13.75,757.62,890.16,117.50,4.20,74.18
BON,2012-06-02,279.64,94.51,33.80,282.10,13.99,13.99,756.91,881.25,116.43,5.00,73.78
BON,2012-06-03,286.93,94.51,32.94,292.30,14.03,14.03,757.87,862.25,113.77,4.40,74.49
BON,2012-06-04,307.09,96.46,31.41,302.60,14.06,14.06,753.29,869.00,115.36,5.00,73.96
BON,2012-06-05,312.45,99.08,31.71,305.00,14.05,14.05,761.79,863.08,113.30,4.00,73.60
BON,2012-06-06,332.62,103.05,30.98,342.00,13.98,13.98,763.16,858.58,112.51,4.00,73.30
BON,2012-06-07,363.36,127.91,35.20,354.50,14.11,14.11,757.83,911.08,120.22,3.60,73.08
BON,2012-06-08,345.36,115.25,33.37,354.00,14.12,14.12,759.50,890.96,117.31,4.00,74.15
BON,2012-06-09,370.99,142.07,38.29,355.90,13.82,13.82,763.66,869.83,113.90,4.50,73.62
BON,2012-06-10,353.69,128.55,36.35,362.60,13.66,13.66,765.12,858.79,112.24,4.00,72.83
BON,2012-06-11,337.77,131.39,38.90,345.80,13.79,13.79,762.48,874.82,114.74,4.00,74.05
BON,2012-06-12,349.00,148.25,42.48,349.10,13.95,13.95,760.29,890.04,117.07,4.50,74.55
BON,2012-06-13,348.55,155.96,44.75,351.40,14.18,14.18,762.46,883.16,115.83,4.00,74.18
BON,2012-06-14,344.79,136.69,39.65,343.30,14.19,14.19,761.79,867.29,113.85,4.00,74.00
BON,2012-06-15,347.46,134.95,38.84,352.40,14.46,14.46,762.25,869.91,114.13,4.00,74.31
BON,2012-06-16,324.02,114.43,35.32,311.60,14.80,14.80,761.04,892.50,117.27,7.00,74.08
BON,2012-06-17,325.01,116.39,35.81,331.20,15.21,15.21,757.58,880.08,116.17,6.00,73.20
BON,2012-06-18,328.29,137.73,41.96,323.00,15.25,15.25,758.83,862.46,113.66,5.00,74.13
BON,2012-06-19,350.85,157.73,44.96,355.40,15.23,15.23,761.96,863.16,113.28,4.00,73.95
BON,2012-06-20,363.18,171.73,47.28,359.50,15.50,15.50,759.50,882.58,116.21,4.50,74.05
BON,2012-06-21,357.21,161.13,45.11,359.80,15.81,15.81,754.71,896.83,118.83,5.00,74.15
BON,2012-06-22,346.60,150.95,43.55,350.30,15.75,15.75,753.50,869.37,115.38,4.50,73.58
BON,2012-06-23,366.75,168.83,46.03,358.20,15.57,15.57,754.66,869.79,115.25,4.60,74.14
BON,2012-06-24,355.89,158.37,44.50,352.40,15.63,15.63,758.50,877.54,115.69,4.20,73.42
BON,2012-06-25,407.83,211.03,51.75,412.00,15.71,15.71,758.25,891.91,117.63,4.60,73.35
BON,2012-06-26,389.16,197.32,50.70,393.00,15.74,15.74,759.96,889.75,117.08,5.00,73.31
BON,2012-06-27,419.59,215.09,51.26,421.00,15.91,15.91,758.87,895.74,118.03,4.50,73.78
BON,2012-06-28,401.77,186.65,46.46,404.80,16.19,16.19,758.21,920.83,121.45,5.00,73.88
BON,2012-06-29,387.55,160.21,41.34,387.00,16.26,16.26,760.33,910.66,119.77,4.50,74.05
BON,2012-06-30,393.95,167.08,42.41,393.10,16.27,16.27,758.16,920.12,121.36,4.00,74.24
BON,2012-07-01,401.35,174.94,43.59,407.10,16.25,16.25,759.50,910.21,119.84,4.00,74.50
BON,2012-07-02,380.55,159.48,41.91,375.70,16.17,16.17,758.26,898.31,118.47,4.00,74.09
BON,2012-07-03,362.75,141.79,39.09,362.10,16.15,16.15,760.62,875.25,115.07,4.50,74.44
BON,2012-07-04,334.22,105.52,31.57,345.00,16.06,16.06,759.33,880.04,115.90,4.50,74.63
BON,2012-07-05,365.93,131.67,35.98,360.10,16.11,16.11,758.16,888.46,117.19,5.00,74.88
BON,2012-07-06,359.53,146.88,40.85,363.70,16.32,16.32,759.96,884.71,116.42,5.40,74.64
BON,2012-07-07,335.16,125.28,37.38,325.80,16.64,16.64,759.87,881.66,116.03,5.00,74.33
BON,2012-07-08,319.78,115.64,36.16,318.70,17.13,17.13,758.37,883.00,116.43,5.30,74.49
