Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2020-01-01,,1,,10,2,,22,1,,,,,,6.1
Bonneville,2020-01-02,,,,10,1,,32,3,,,,,,6.1
Bonneville,2020-01-03,,,,14,5,,31,5,,,,,,6.1
Bonneville,2020-01-04,,,,1,1,,6,2,,,,,,6.1
Bonneville,2020-01-05,,-1,,2,-1,,2,1,,,,,,6.1
Bonneville,2020-01-06,,,,6,4,,3,2,,,,,,6.1
Bonneville,2020-01-07,,6,,27,14,,27,15,,,,,,6.1
Bonneville,2020-01-08,,,,21,10,,4,2,,,,,,6.1
Bonneville,2020-01-09,,,,6,4,,1,,,,,,,6.1
Bonneville,2020-01-10,,-1,,8,3,,2,,,,,,,6.1
Bonneville,2020-01-11,,,,12,3,,,,,,,,,6.1
Bonneville,2020-01-12,,,,5,4,,,,,,,,,5.6
Bonneville,2020-01-13,,,,13,4,,,,,,,,,5.6
Bonneville,2020-01-14,,,,6,1,,,,,,,,,5.6
Bonneville,2020-01-15,,,,5,1,,,,,,,,,5.6
Bonneville,2020-01-16,,,,8,3,,,,,,,,,5
Bonneville,2020-01-17,,,,7,1,,,,,,,,,4.4
Bonneville,2020-01-18,,,,11,2,,,,,,,,,4.4
Bonneville,2020-01-19,,,,7,6,,,,,,,,,4.4
Bonneville,2020-01-20,,,,7,4,,,,,,,,,4.4
Bonneville,2020-01-21,,,,24,9,,,,,,,,,4.4
Bonneville,2020-01-22,,,,24,7,,,,,,,,,4.4
Bonneville,2020-01-23,,,,25,6,,,,,,,,,4.4
Bonneville,2020-01-24,,,,24,7,,,,,,,,,4.4
Bonneville,2020-01-25,,,,24,9,,,,,,,,,5
Bonneville,2020-01-26,,,,16,8,,,,,,,,,4.4
Bonneville,2020-01-27,,,,26,7,,,-1,,,,,,4.4
Bonneville,2020-01-28,,,,21,8,,,,,,,,,4.4
Bonneville,2020-01-29,,,,15,1,,,,,,,,,4.4
Bonneville,2020-01-30,,,,16,7,,,,,,,,,4.4
Bonneville,2020-01-31,,,,18,10,,,,,,,,,3.9
Bonneville,2020-02-01,,,-1,21,12,,,,,,,,,3.9
Bonneville,2020-02-02,,,,26,11,,,,,,,,,4.4
Bonneville,2020-02-03,,,,20,9,,-1,,,,,,,4.4
Bonneville,2020-02-04,,,,4,1,,,,,,,,,4.4
Bonneville,2020-02-05,,,,14,3,,,,,,,,,3.9
Bonneville,2020-02-06,,,,32,18,,,,,,,,,3.9
Bonneville,2020-02-07,,,,50,16,,,,,,,,,3.9
Bonneville,2020-02-08,,,,30,18,,,,,,,,,4.4
Bonneville,2020-02-09,,,,17,7,,,,,,,,,4.4
Bonneville,2020-02-10,,,,17,10,,,,,,,,,4.4
Bonneville,2020-02-11,,,,12,5,,,,,,,,,4.4
Bonneville,2020-02-12,,,,30,13,,,,,,,,,3.9
Bonneville,2020-02-13,,,,17,9,,,,,,,,,4.4
Bonneville,2020-02-14,,,,28,12,,,,,,,,,4.4
Bonneville,2020-02-15,,,,9,11,,,,,,,,,4.4
Bonneville,2020-02-16,,,,7,,,,,,,,,,4.4
Bonneville,2020-02-17,,,,10,2,,,,,,,,,3.9
Bonneville,2020-02-18,,,,9,2,,,,,,,,,4.4
Bonneville,2020-02-19,,,,8,1,,,,,,,,,4.4
Bonneville,2020-02-20,,,,5,2,,,,,,,,,4.4
Bonneville,2020-02-21,,,,15,7,,,,,,,,,3.9
Bonneville,2020-02-22,,,,38,22,,,,,,,,,4.4
Bonneville,2020-02-23,,,,41,22,,,,,,,,,4.4
Bonneville,2020-02-24,,,,32,18,,,,,,,,,4.4
Bonneville,2020-02-25,,,,49,23,,,,,,,,,5
Bonneville,2020-02-26,,,,86,45,,,,,,,,,5
Bonneville,2020-02-27,,,,71,34,,,,,,,,,5
Bonneville,2020-02-28,,,,50,16,,,,,,,,,5
Bonneville,2020-02-29,,1,,96,58,,,,,,,,,5
Bonneville,2020-03-01,,1,,54,22,,,,,,,,,5
Bonneville,2020-03-02,,,,35,18,,,,,,,,,5
Bonneville,2020-03-03,,1,,20,9,,,,,,,,,5
Bonneville,2020-03-04,,,,49,24,,,,,,,,,5
Bonneville,2020-03-05,,1,,36,18,,,,,,,,,5.6
Bonneville,2020-03-06,,1,,37,16,,,,,,,,,5.6
Bonneville,2020-03-07,,1,,35,9,,,,,,,,,5.6
Bonneville,2020-03-08,,1,,34,14,,,,,,,,,5.6
Bonneville,2020-03-09,,1,,14,8,,,,,,,,,5.6
Bonneville,2020-03-10,,,,15,5,,,,,,,,,5.6
Bonneville,2020-03-11,,3,,44,19,,,,,,,,,5.6
Bonneville,2020-03-12,,,,28,12,,,,,,,,,6.3
Bonneville,2020-03-13,,2,,44,17,,,,,,,,,6.3
Bonneville,2020-03-14,,3,,29,9,,,,,,,,,6.2
Bonneville,2020-03-15,Sp,,,17,5,,,,,,,,,6
Bonneville,2020-03-16,Sp,1,,18,5,,,,,,,,,5.8
Bonneville,2020-03-17,Sp,3,,21,5,,,,,,,,,6
Bonneville,2020-03-18,Sp,1,,27,6,,,,,,,,,6.2
Bonneville,2020-03-19,Sp,1,,42,20,,,,,,,,,6.5
Bonneville,2020-03-20,Sp,4,,46,24,,,,,,,,,6.8
Bonneville,2020-03-21,Sp,3,,25,6,,,,,,,,,6.9
Bonneville,2020-03-22,Sp,1,,36,13,,,,,,,,,7
Bonneville,2020-03-23,Sp,,,35,21,,,,,,,,,7.1
Bonneville,2020-03-24,Sp,1,,32,12,,,,,,,,,7.1
Bonneville,2020-03-25,Sp,2,,34,20,,,,,,,,,7.1
