Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2021-01-01,,,-4,3,1,,,,,,,,,5.6
Bonneville,2021-01-02,,-1,,7,4,,,,,,,,,5.6
Bonneville,2021-01-03,,,,9,4,,,,,,,,,5.6
Bonneville,2021-01-04,,,,11,1,,,,,,,,,6.1
Bonneville,2021-01-05,,,,9,2,,,,,,,,,6.1
Bonneville,2021-01-06,,,,4,3,,,,,,,,,6.1
Bonneville,2021-01-07,,,,,3,,,,,,,,,6.1
Bonneville,2021-01-08,,,,6,2,,-1,,,,,,,6.1
Bonneville,2021-01-09,,,,8,5,,1,,,,,,,5.6
Bonneville,2021-01-10,,,,11,3,,,,,,,,,5.6
Bonneville,2021-01-11,,,,8,3,,,,,,,,,5.6
Bonneville,2021-01-12,,,,10,5,,,,,,,,,5.6
Bonneville,2021-01-13,,,,14,2,,,,,,,,,5.6
Bonneville,2021-01-14,,,,6,,,,,,,,,,5.6
Bonneville,2021-01-15,,,,20,10,,,,,,,,,5.6
Bonneville,2021-01-16,,,,17,10,,,,,,,,,5.6
Bonneville,2021-01-17,,,,10,6,,,,,,,,,5.6
Bonneville,2021-01-18,,,,8,4,,,,,,,,,5.6
Bonneville,2021-01-19,,,,9,6,,,,,,,,,6.1
Bonneville,2021-01-20,,,,5,3,,,,,,,,,6.1
Bonneville,2021-01-21,,,,2,1,,,,,,,,,5.6
Bonneville,2021-01-22,,,,10,7,,,,,,,,,5.6
Bonneville,2021-01-23,,,,1,3,,,,,,,,,5.6
Bonneville,2021-01-24,,,,5,2,,,,,,,,,5.6
Bonneville,2021-01-25,,,,8,5,,,,,,,,,5.6
Bonneville,2021-01-26,,,,,,,,,,,,,,5
Bonneville,2021-01-27,,,,10,5,,,,,,,,,5
Bonneville,2021-01-28,,,,10,8,,,,,,,,,4.4
Bonneville,2021-01-29,,,,8,4,,,,,,,,,4.4
Bonneville,2021-01-30,,,,8,2,,,,,,,,,4.4
Bonneville,2021-01-31,,,,4,2,,,,,,,,,4.4
Bonneville,2021-02-01,,,,3,2,,,,,,,,,4.4
Bonneville,2021-02-02,,,,5,2,,,,,,,,,4.4
Bonneville,2021-02-03,,,,6,2,,,,,,,,,4.4
Bonneville,2021-02-04,,,,2,2,,,,,,,,,4.4
Bonneville,2021-02-05,,,,3,,,,,,,,,,4.4
Bonneville,2021-02-06,,,,6,3,,,,,,,,,4.4
Bonneville,2021-02-07,,,,8,4,,,,,,,,,4.4
Bonneville,2021-02-08,,,,4,3,,,,,,,,,4.4
Bonneville,2021-02-09,,,,4,3,,,,,,,,,4.4
Bonneville,2021-02-10,,,,4,2,,,,,,,,,4.4
Bonneville,2021-02-11,,,,3,3,,,,,,,,,4.4
Bonneville,2021-02-12,,,,4,3,,,,,,,,,4.4
Bonneville,2021-02-13,,,,2,2,,,,,,,,,3.9
Bonneville,2021-02-14,,,1,1,,,,-1,,,,,,3.3
Bonneville,2021-02-15,,,,4,1,,,,,,,,,3.3
Bonneville,2021-02-16,,,,11,5,,,,,,,,,3.3
Bonneville,2021-02-17,,,,6,3,,,,,,,,,3.3
Bonneville,2021-02-18,,,,3,,,,,,,,,,3.9
Bonneville,2021-02-19,,,,,1,,,,,,,,,3.9
Bonneville,2021-02-20,,,,3,2,,,,,,,,,3.9
Bonneville,2021-02-21,,,,4,2,,,,,,,,,3.3
Bonneville,2021-02-22,,,,2,1,,,,,,,,,3.3
Bonneville,2021-02-23,,,,1,,,,,,,,,,3.3
Bonneville,2021-02-24,,,,5,2,,,,,,,,,3.3
Bonneville,2021-02-25,,,,4,1,,,,,,,,,3.9
Bonneville,2021-02-26,,-1,,6,1,,,,,,,,,3.3
Bonneville,2021-02-27,,,,5,2,,,,,,,,,3.3
Bonneville,2021-02-28,,-1,,14,8,,,,,,,,,3.3
Bonneville,2021-03-01,,,,24,13,,,,,,,,,3.3
Bonneville,2021-03-02,,,,4,,,,,,,,,,3.9
Bonneville,2021-03-03,,,,7,2,,,,,,,,,3.9
Bonneville,2021-03-04,,,,11,3,,,,,,,,,3.9
Bonneville,2021-03-05,,,,11,4,,,,,,,,,4.4
Bonneville,2021-03-06,,,,7,3,,,,,,,,,4.4
Bonneville,2021-03-07,,,,26,11,,,,,,,,,4.4
Bonneville,2021-03-08,,,,25,8,,,,,,,,,4.4
Bonneville,2021-03-09,,,,35,12,,,,,,,,,4.4
Bonneville,2021-03-10,,,,21,2,,,,,,,,,4.4
Bonneville,2021-03-11,,,,23,5,,,,,,,,,5
Bonneville,2021-03-12,,2,,25,7,,,,,,,,,5
Bonneville,2021-03-13,,,,19,10,,,,,,,,,5.6
Bonneville,2021-03-14,,2,,21,10,,,,,,,,,5.6
Bonneville,2021-03-15,Sp,1,,14,4,,,,,,,,,5.6
Bonneville,2021-03-16,Sp,3,,12,4,,,,,,,,,5.6
Bonneville,2021-03-17,Sp,2,,23,8,,,,,,,,,5.6
Bonneville,2021-03-18,Sp,8,,20,9,,,,,,,,,6.1
Bonneville,2021-03-19,Sp,7,1,26,15,,,,,,,,,6.1
Bonneville,2021-03-20,Sp,1,,17,5,,,,,,,,,
Bonneville,2021-03-21,Sp,6,,22,4,,,,,,,,,6.1
Bonneville,2021-03-22,Sp,7,,14,2,,,,,,,,,6.7
Bonneville,2021-03-23,Sp,13,,23,10,,,,,,,,,6.7
Bonneville,2021-03-24,Sp,10,,23,8,,,,,,,,,6.7
Bonneville,2021-03-25,Sp,14,,28,4,,,,,,,,,7.2
Bonneville,2021-03-26,Sp,6,,8,4,,,,,,,,,6.7
Bonneville,2021-03-27,Sp,6,,20,6,,,,,,,,,6.7
Bonneville,2021-03-28,Sp,7,,30,14,,,,,,,,,6.7
Bonneville,2021-03-29,Sp,19,,23,13,,,,,,,,,7.2
Bonneville,2021-03-30,Sp,1,,19,10,,,,,,,,,7.2
Bonneville,2021-03-31,Sp,18,,14,5,,,,,,,,,7.2
