Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2013-01-01,,,,9,2,,,,,,,,,6.1
Bonneville,2013-01-02,,,,8,2,,,,,,,,,5
Bonneville,2013-01-03,,,,11,7,,,,,-1,,,,5
Bonneville,2013-01-04,,,,10,3,,,,,,,,,5
Bonneville,2013-01-05,,,,10,6,,,,,,,,,5
Bonneville,2013-01-06,,,,7,,,,,,,,,,5
Bonneville,2013-01-07,,,,19,4,,,,,,,,,5
Bonneville,2013-01-08,,,,24,6,,,,,,,,,5
Bonneville,2013-01-09,,,,13,4,,,,,,,,,5
Bonneville,2013-01-10,,,,12,5,,,,,,,,,5
Bonneville,2013-01-11,,,,12,6,,,,,,,,,5
Bonneville,2013-01-12,,,,17,7,,,,,,,,,5
Bonneville,2013-01-13,,,,9,2,,,,,,,,,5
Bonneville,2013-01-14,,,,7,3,,,,,,,,,4.4
Bonneville,2013-01-15,,,,6,3,,,,,,,,,4.4
Bonneville,2013-01-16,,,,1,,,,,,,,,,3.9
Bonneville,2013-01-17,,,,2,,,,,,,,,,4.4
Bonneville,2013-01-18,,,,2,1,,,,,,,,,4.4
Bonneville,2013-01-19,,,,8,4,,,,,,,,,3.9
Bonneville,2013-01-20,,,,2,2,,,,,,,,,3.9
Bonneville,2013-01-21,,,,3,1,,,,,,,,,3.9
Bonneville,2013-01-22,,,,,,,,,,,,,,3.9
Bonneville,2013-01-23,,,,,,,,,,,,,,3.9
Bonneville,2013-01-24,,,,1,1,,,,,,,,,2.8
Bonneville,2013-01-25,,,,3,,,,,,,,,,3.3
Bonneville,2013-01-26,,,,2,,,,,,,,,,3.3
Bonneville,2013-01-27,,,,,,,,,,,,,,3.3
Bonneville,2013-01-28,,,,1,,,,,,,,,,3.3
Bonneville,2013-01-29,,,,2,,,,,,,,,,3.3
Bonneville,2013-01-30,,,,7,1,,,,,,,,,2.8
Bonneville,2013-01-31,,,,,,,,,,,,,,3.3
Bonneville,2013-02-01,,,,13,5,,,,,,,,,3.3
Bonneville,2013-02-02,,,,,-1,,,,,,,,,3.3
Bonneville,2013-02-03,,,,5,2,,,,,,,,,3.3
Bonneville,2013-02-04,,,,,-1,,,,,,,,,3.9
Bonneville,2013-02-05,,,,-1,,,,,,,,,,3.9
Bonneville,2013-02-06,,,,,1,,,,,,,,,3.9
Bonneville,2013-02-07,,,,7,1,,,,,,,,,4.4
Bonneville,2013-02-08,,,,4,2,,,,,,,,,3.9
Bonneville,2013-02-09,,,,6,2,,,,,,,,,4.4
Bonneville,2013-02-10,,,,8,2,,,,,,,,,4.4
Bonneville,2013-02-11,,,,2,1,,,,,,,,,4.4
Bonneville,2013-02-12,,,,9,4,,,,,,,,,4.4
Bonneville,2013-02-13,,1,,9,3,,,,,,,,,4.4
Bonneville,2013-02-14,,,,8,2,,,,,,,,,4.4
Bonneville,2013-02-15,,,,10,3,,,,,,,,,4.4
Bonneville,2013-02-16,,,,3,,,,,,,,,,4.4
Bonneville,2013-02-17,,,,3,,,,,,,,,,5
Bonneville,2013-02-18,,,,3,2,,,,,,,,,4.4
Bonneville,2013-02-19,,,,4,2,,,,,,,,,4.4
Bonneville,2013-02-20,,1,,4,,,,,,,,,,5
Bonneville,2013-02-21,,,,7,2,,,,,,,,,5
Bonneville,2013-02-22,,,,32,5,,,,,,,,,5
Bonneville,2013-02-23,,,,7,2,,,,,,,,,5
Bonneville,2013-02-24,,1,,8,1,,,,,,,,,5
Bonneville,2013-02-25,,,,4,1,,,,,,,,,5
Bonneville,2013-02-26,,,,11,,,,,,,,,,4.4
Bonneville,2013-02-27,,3,,25,7,,,,,,,,,4.4
Bonneville,2013-02-28,,,,33,7,,,,,,,,,4.4
Bonneville,2013-03-01,,2,,88,24,,,,,,,,,5
Bonneville,2013-03-02,,1,,30,5,,,,,,,,,5
Bonneville,2013-03-03,,7,,23,9,,,,,,,,,5
Bonneville,2013-03-04,,-1,,37,11,,,,,,,,,5.6
Bonneville,2013-03-05,,1,,17,5,,,,,,,,,5.6
Bonneville,2013-03-06,,2,,10,2,,,,,,,,,5.6
Bonneville,2013-03-07,,1,,13,3,,,,,,,,,5.6
Bonneville,2013-03-08,,1,,12,-1,,,,,,,,,5
Bonneville,2013-03-09,,3,1,10,2,,,,,,,,,5.6
Bonneville,2013-03-10,,6,,16,6,,,,,,,,,5.6
Bonneville,2013-03-11,,2,,22,4,,,,,,,,,5.6
