Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2022-01-01,197.66,0.54,0.27,199.80,5.00,5.00,,,,6.00,74.03
BON,2022-01-02,181.45,0.53,0.29,180.40,4.44,4.44,,,,6.00,74.02
BON,2022-01-03,185.34,0.53,0.28,171.70,4.44,4.44,,,,7.00,73.33
BON,2022-01-04,191.49,0.53,0.27,199.50,3.89,3.89,,,,6.00,73.12
BON,2022-01-05,201.82,0.52,0.26,202.50,3.33,3.33,,,,6.00,73.16
BON,2022-01-06,185.24,0.56,0.30,189.80,3.33,3.33,,,,6.00,74.15
BON,2022-01-07,180.72,0.53,0.29,185.10,3.33,3.33,,,,6.00,74.45
BON,2022-01-08,191.21,0.53,0.27,186.00,3.33,3.33,,,,6.00,74.46
BON,2022-01-09,185.08,0.53,0.28,188.10,3.33,3.33,,,,6.00,74.20
BON,2022-01-10,184.58,0.48,0.26,178.90,2.80,,,,,,74.08
BON,2022-01-11,191.08,0.53,0.27,181.70,2.78,2.78,,,,5.00,73.00
BON,2022-01-12,176.70,0.52,0.29,185.00,2.78,2.78,,,,5.00,73.35
BON,2022-01-13,182.46,0.52,0.29,184.40,2.78,2.78,,,,5.00,73.63
BON,2022-01-14,182.85,0.87,0.47,177.70,2.78,2.78,,,,7.00,73.79
BON,2022-01-15,194.09,0.53,0.27,193.20,3.33,3.33,,,,7.00,73.20
BON,2022-01-16,191.60,0.53,0.27,197.60,3.33,3.33,,,,7.00,73.70
BON,2022-01-17,209.64,0.53,0.25,210.50,3.33,3.33,,,,7.00,73.43
BON,2022-01-18,212.45,0.53,0.25,207.70,2.78,2.78,,,,7.00,73.20
BON,2022-01-19,197.15,0.56,0.28,201.00,2.78,2.78,,,,7.00,73.60
BON,2022-01-20,196.38,0.58,0.30,190.40,3.33,3.33,,,,7.00,73.78
BON,2022-01-21,196.78,0.58,0.29,203.60,3.33,3.33,,,,5.00,73.40
BON,2022-01-22,206.83,0.58,0.28,199.80,3.89,3.89,,,,5.00,73.54
BON,2022-01-23,200.04,0.58,0.29,194.70,3.33,3.33,,,,5.00,73.24
BON,2022-01-24,204.83,22.23,10.85,211.10,3.33,3.33,,,,5.00,73.04
BON,2022-01-25,198.87,36.18,18.19,207.70,3.33,3.33,,,,7.00,73.65
BON,2022-01-26,202.86,42.06,20.73,214.70,3.33,3.33,,,,7.00,74.98
BON,2022-01-27,208.57,45.49,21.81,201.20,3.33,3.33,,,,5.00,74.93
BON,2022-01-28,209.68,33.30,15.88,207.40,3.33,3.33,,,,5.00,74.33
BON,2022-01-29,196.90,0.63,0.32,190.80,3.33,3.33,,,,5.00,74.20
BON,2022-01-30,192.03,0.58,0.30,188.40,3.33,3.33,,,,5.00,73.46
BON,2022-01-31,181.72,0.58,0.32,182.40,3.33,3.33,,,,7.00,73.37
BON,2022-02-01,196.43,0.58,0.29,194.80,3.33,3.33,,,,7.00,73.42
BON,2022-02-02,203.28,0.58,0.28,196.50,3.33,3.33,,,,7.00,73.87
BON,2022-02-03,187.76,0.58,0.31,199.60,3.33,3.33,,,,7.00,73.32
BON,2022-02-04,202.42,0.58,0.28,194.10,2.78,2.78,,,,7.00,73.64
BON,2022-02-05,173.21,0.58,0.33,184.90,2.78,2.78,,,,7.00,73.64
BON,2022-02-06,175.51,0.58,0.33,171.30,2.78,2.78,,,,7.00,74.23
BON,2022-02-07,169.75,0.58,0.34,162.90,3.33,3.33,,,,7.00,73.35
BON,2022-02-08,184.85,0.58,0.31,188.70,3.33,3.33,,,,7.00,73.69
BON,2022-02-09,156.85,0.58,0.37,159.00,3.33,3.33,,,,7.00,73.83
