Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2013-01-01,186.76,1.10,0.59,195.10,6.11,6.11,,,,7.00,73.46
BON,2013-01-02,220.05,1.10,0.50,206.30,6.11,6.11,,,,7.00,73.17
BON,2013-01-03,190.84,1.09,0.57,198.50,5.00,5.00,,,,6.00,72.94
BON,2013-01-04,185.66,1.09,0.59,185.90,5.00,5.00,,,,7.00,73.14
BON,2013-01-05,183.43,1.08,0.59,180.10,5.00,5.00,,,,7.00,72.62
BON,2013-01-06,169.33,1.09,0.64,175.90,5.00,5.00,,,,7.00,72.84
BON,2013-01-07,161.71,1.10,0.68,157.90,5.00,5.00,,,,7.00,73.10
BON,2013-01-08,174.53,1.10,0.63,181.30,5.00,5.00,,,,7.00,73.38
BON,2013-01-09,207.73,1.10,0.53,211.30,5.00,5.00,,,,7.00,73.70
BON,2013-01-10,189.07,1.10,0.58,184.10,5.00,5.00,,,,7.00,74.19
BON,2013-01-11,190.54,1.10,0.58,192.70,5.00,5.00,,,,7.00,73.48
BON,2013-01-12,195.00,1.10,0.56,192.60,5.00,5.00,,,,7.00,73.62
BON,2013-01-13,191.59,1.10,0.57,184.90,5.00,5.00,,,,7.00,73.18
BON,2013-01-14,188.07,1.08,0.57,193.40,5.00,5.00,,,,7.00,72.70
BON,2013-01-15,198.93,1.10,0.55,202.80,4.44,4.44,,,,7.00,73.41
BON,2013-01-16,203.05,1.10,0.54,208.80,4.44,4.44,,,,7.00,73.86
BON,2013-01-17,208.23,1.07,0.51,200.20,3.89,3.89,,,,7.00,72.87
BON,2013-01-18,183.37,1.10,0.60,180.00,4.44,4.44,,,,6.00,72.97
BON,2013-01-19,168.40,1.10,0.65,183.00,4.44,4.44,,,,6.50,74.03
BON,2013-01-20,172.16,1.10,0.64,167.00,3.89,3.89,,,,6.70,74.58
BON,2013-01-21,187.45,1.10,0.59,190.40,3.89,3.89,,,,7.00,74.28
BON,2013-01-22,191.90,1.10,0.57,199.60,3.89,3.89,,,,7.00,74.48
BON,2013-01-23,193.65,1.10,0.57,183.40,3.89,3.89,,,,7.00,74.50
BON,2013-01-24,167.64,1.10,0.66,168.70,2.80,,,,,,74.43
BON,2013-01-25,181.74,1.10,0.61,180.80,2.78,2.78,,,,7.00,74.36
BON,2013-01-26,157.17,1.10,0.70,158.20,3.33,3.33,,,,7.00,74.23
BON,2013-01-27,146.50,1.10,0.75,146.50,3.33,3.33,,,,7.00,74.09
BON,2013-01-28,144.19,1.10,0.76,150.00,3.33,3.33,,,,7.00,74.77
BON,2013-01-29,140.06,1.10,0.79,134.10,3.33,3.33,,,,7.00,74.80
BON,2013-01-30,146.45,1.10,0.75,148.40,3.33,3.33,,,,6.50,74.88
BON,2013-01-31,172.92,1.10,0.64,171.30,2.78,2.78,,,,7.00,74.57
BON,2013-02-01,146.23,1.10,0.75,152.20,3.33,3.33,,,,7.00,74.17
BON,2013-02-02,147.34,1.10,0.75,136.60,3.33,3.33,,,,7.00,74.57
BON,2013-02-03,146.74,0.95,0.65,143.90,3.33,3.33,,,,7.00,73.84
BON,2013-02-04,149.50,14.64,9.79,157.30,3.89,3.89,,,,7.00,73.66
