Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2022-01-01,,,,13,5,,,,,,,,,5
Bonneville,2022-01-02,,,,14,9,,,,,,,,,4.4
Bonneville,2022-01-03,,,,9,7,,,,,,,,,4.4
Bonneville,2022-01-04,,,,4,2,,,,,,,,,3.9
Bonneville,2022-01-05,,,,10,4,,,,,,,,,3.3
Bonneville,2022-01-06,,,,12,5,,1,,,,,,,3.3
Bonneville,2022-01-07,,-1,,10,3,,-1,,,,,,,3.3
Bonneville,2022-01-08,,,,6,2,,,,,,,,,3.3
Bonneville,2022-01-09,,,,10,6,,,,,,,,,3.3
Bonneville,2022-01-10,,,,2,3,,,,,,,,,
Bonneville,2022-01-11,,,,,1,,,,,,,,,2.8
Bonneville,2022-01-12,,,,4,2,,,,,,,,,2.8
Bonneville,2022-01-13,,1,,1,,,,,,,,,,2.8
Bonneville,2022-01-14,,,,3,3,,,,,,,,,2.8
Bonneville,2022-01-15,,,,10,3,,,,,,,,,3.3
Bonneville,2022-01-16,,,,8,4,,,,,,,,,3.3
Bonneville,2022-01-17,,,,4,,,,,,,,,,3.3
Bonneville,2022-01-18,,,,6,2,,,,,,,,,2.8
Bonneville,2022-01-19,,,,6,3,,-1,,,,,,,2.8
Bonneville,2022-01-20,,,,7,6,,,,,,,,,3.3
Bonneville,2022-01-21,,,,25,13,,,,,,,,,3.3
Bonneville,2022-01-22,,,,17,5,,,,,,,,,3.9
Bonneville,2022-01-23,,,,,1,,,,,,,,,3.3
Bonneville,2022-01-24,,,,5,2,,,,,,,,,3.3
Bonneville,2022-01-25,,,,2,2,,,,,,,,,3.3
Bonneville,2022-01-26,,,,8,4,,,,,,,,,3.3
Bonneville,2022-01-27,,,,3,2,,,,,,,,,3.3
Bonneville,2022-01-28,,,,5,3,,,,,,,,,3.3
Bonneville,2022-01-29,,,,,,,,,,,,,,3.3
Bonneville,2022-01-30,,,,1,1,,,,,,,,,3.3
Bonneville,2022-01-31,,,,2,1,,,,,,,,,3.3
Bonneville,2022-02-01,,,,6,5,,,,,,,,,3.3
Bonneville,2022-02-02,,,,6,2,,,,,,,,,3.3
Bonneville,2022-02-03,,,,2,1,,,,,,,,,3.3
Bonneville,2022-02-04,,,,4,,,,,,,,,,2.8
Bonneville,2022-02-05,,,,3,3,,,,,,,,,2.8
Bonneville,2022-02-06,,,,4,1,,,,,,,,,2.8
Bonneville,2022-02-07,,,,3,,,,,,,,,,3.3
Bonneville,2022-02-08,,,,4,4,,,,,,,,,3.3
Bonneville,2022-02-09,,,,8,3,,,,,,,,,3.3
Bonneville,2022-02-10,,,,6,1,,,,,,,,,3.3
Bonneville,2022-02-11,,,,12,5,,,,,,,,,3.3
Bonneville,2022-02-12,,,,3,,,,,,,,,,3.3
Bonneville,2022-02-13,,,,-2,,,,,,,,,,3.3
Bonneville,2022-02-14,,,,5,2,,,,,,,,,3.3
Bonneville,2022-02-15,,,,7,2,,,,,,,,,3.3
Bonneville,2022-02-16,,,,9,3,,,,,,,,,3.3
Bonneville,2022-02-17,,,,4,,,,,,,,,,3.3
Bonneville,2022-02-18,,,,4,2,,,,,,,,,3.3
Bonneville,2022-02-19,,,,4,2,,,,,,,,,3.3
Bonneville,2022-02-20,,,,14,6,,,,,,,,,3.3
Bonneville,2022-02-21,,,,8,3,,,,,,,,,3.9
Bonneville,2022-02-22,,,,6,5,,,,,,,,,3.9
Bonneville,2022-02-23,,,,1,2,,,,,,,,,3.9
Bonneville,2022-02-24,,,,2,2,,,,,,,,,3.3
Bonneville,2022-02-25,,,,4,3,,,,,,,,,
Bonneville,2022-02-26,,,,11,7,,,,,,,,,3.3
Bonneville,2022-02-27,,,,17,8,,,,,,,,,3.3
Bonneville,2022-02-28,,,,52,19,,,,,,,,,3.3
Bonneville,2022-03-01,,,,147,81,,,,,,,,,3.3
Bonneville,2022-03-02,,,,16,8,,,,,,,,,3.3
Bonneville,2022-03-03,,,,29,18,,,,,,,,,3.9
Bonneville,2022-03-04,,,,30,11,,,,,,,,,3.9
Bonneville,2022-03-05,,,,17,6,,,,,,,,,3.9
Bonneville,2022-03-06,,,,25,14,,,,,,,,,3.9
Bonneville,2022-03-07,,,,17,10,,,,,,,,,3.9
Bonneville,2022-03-08,,,,8,7,,,,,,,,,3.9
Bonneville,2022-03-09,,,,20,14,,,,,,,,,3.9
Bonneville,2022-03-10,,,1,40,23,,,,,,,,,3.9
Bonneville,2022-03-11,,1,,24,6,,,,,,,,,3.9
Bonneville,2022-03-12,,2,1,53,20,,,,,,,,,3.9
Bonneville,2022-03-13,,1,2,49,19,,,,,,,,,3.9
Bonneville,2022-03-14,,,1,77,35,,,,,,,,,4.4
Bonneville,2022-03-15,Sp,,,111,57,,,,,,,,,4.4
Bonneville,2022-03-16,Sp,3,1,24,14,,,,,,,,,5
Bonneville,2022-03-17,Sp,6,1,41,22,,,,,,,,,5
Bonneville,2022-03-18,Sp,7,1,36,9,,,,,,,,,5.6
Bonneville,2022-03-19,Sp,5,,40,13,,,,,,,,,5.6
Bonneville,2022-03-20,Sp,17,4,64,37,,,,,,,,,5.6
Bonneville,2022-03-21,Sp,35,5,43,26,,,,,,,,,6.1
Bonneville,2022-03-22,Sp,23,7,30,24,,,,,,,,,6.1
Bonneville,2022-03-23,Sp,20,2,67,51,,,,,,,,,6.1
Bonneville,2022-03-24,Sp,36,7,74,49,,,,,,,,,6.7
Bonneville,2022-03-25,Sp,19,3,61,27,,,,,,,,,6.7
Bonneville,2022-03-26,Sp,60,17,81,44,,,,,,,,,6.7
Bonneville,2022-03-27,Sp,122,22,70,31,,,,,,,,,7.2
Bonneville,2022-03-28,Sp,106,2,44,26,,,,,,,,,7.2
Bonneville,2022-03-29,Sp,111,21,52,36,,,,,,,,,7.2
Bonneville,2022-03-30,Sp,85,22,28,25,,,,,,,,,7.8
Bonneville,2022-03-31,Sp,43,,27,13,,,,,,,,,8.2
Bonneville,2022-04-01,Sp,57,,45,28,,,,,,,,,8.1
Bonneville,2022-04-02,Sp,41,,18,8,,,,,,,,,8.1
Bonneville,2022-04-03,Sp,33,2,13,10,,,,,,,,,8.2
Bonneville,2022-04-04,Sp,54,,16,13,,,,,,,,,8.3
Bonneville,2022-04-05,Sp,38,4,21,14,,,,,,,,,8.3
Bonneville,2022-04-06,Sp,39,-1,11,8,,,,,,,,,8.4
Bonneville,2022-04-07,Sp,47,,19,14,,,,,,,,,8.6
Bonneville,2022-04-08,Sp,53,1,26,19,,,,,,,,,8.7
Bonneville,2022-04-09,Sp,73,,17,6,,,,,,,,,8.8
Bonneville,2022-04-10,Sp,68,4,16,12,,,,,,,,,8.7
Bonneville,2022-04-11,Sp,52,,14,12,,,,,,,,,8.6
Bonneville,2022-04-12,Sp,37,4,21,8,,,,,,,,,8.4
Bonneville,2022-04-13,Sp,49,1,11,3,,,,,,,,,8.4
Bonneville,2022-04-14,Sp,49,,18,14,,,,,,,,,8.5
Bonneville,2022-04-15,Sp,229,1,30,17,,,,,,,,,8.8
Bonneville,2022-04-16,Sp,335,6,12,3,,,,,,,,,8.8
Bonneville,2022-04-17,Sp,283,3,8,5,,,,,,,,,8.8
Bonneville,2022-04-18,Sp,314,1,17,15,,,,,,,,,8.9
Bonneville,2022-04-19,Sp,380,3,9,5,,,,,,,,,8.9
Bonneville,2022-04-20,Sp,391,12,3,2,,,,,,,,,8.7
Bonneville,2022-04-21,Sp,310,,8,4,,,,,,,,,8.7
Bonneville,2022-04-22,Sp,648,9,16,9,,,,,,,,,8.9
Bonneville,2022-04-23,Sp,1975,33,16,10,,,,,,,,,9.2
Bonneville,2022-04-24,Sp,3256,25,10,3,,,,,,,,,9.5
Bonneville,2022-04-25,Sp,2683,29,13,8,,,,,,,,,9.7
Bonneville,2022-04-26,Sp,6556,66,23,12,,,,,,,,,9.6
Bonneville,2022-04-27,Sp,2911,43,16,9,,,,,,,,,9.6
Bonneville,2022-04-28,Sp,6822,119,16,4,,,,,,,,,9.7
