Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2018-01-01,167.49,0.51,0.31,161.20,5.00,5.00,,,,5.00,74.01
BON,2018-01-02,181.69,0.48,0.27,183.40,5.00,5.00,,,,7.00,73.68
BON,2018-01-03,192.47,0.50,0.26,191.60,4.44,4.44,,,,3.00,73.98
BON,2018-01-04,186.73,0.51,0.27,191.70,4.44,4.44,,,,7.00,73.90
BON,2018-01-05,192.50,0.49,0.26,181.10,3.89,3.89,,,,7.00,73.37
BON,2018-01-06,174.93,0.49,0.28,178.60,3.89,3.89,,,,7.00,73.48
BON,2018-01-07,149.87,0.50,0.34,147.40,4.44,4.44,,,,7.00,73.67
BON,2018-01-08,190.70,0.48,0.25,190.90,4.44,4.44,,,,7.00,73.45
BON,2018-01-09,198.57,0.50,0.25,202.10,4.44,4.44,,,,7.00,73.17
BON,2018-01-10,187.63,0.50,0.27,186.50,4.44,4.44,,,,7.00,73.65
BON,2018-01-11,199.07,0.48,0.24,202.00,4.44,4.44,,,,7.00,73.68
BON,2018-01-12,229.29,3.32,1.45,221.40,3.89,3.89,,,,,73.94
BON,2018-01-13,232.82,2.18,0.93,237.60,3.89,3.89,,,,3.00,73.03
BON,2018-01-14,214.78,0.50,0.23,205.90,,,,,,,73.64
BON,2018-01-15,208.29,0.49,0.23,214.30,3.90,,,,,,72.96
BON,2018-01-16,212.23,0.48,0.23,209.00,3.89,3.89,,,,7.00,73.15
BON,2018-01-17,216.46,0.51,0.24,213.40,4.44,4.44,,,,7.00,72.86
BON,2018-01-18,211.05,0.48,0.23,228.50,4.44,4.44,,,,6.00,73.07
BON,2018-01-19,209.26,0.41,0.20,204.20,4.44,4.44,,,,5.00,73.98
BON,2018-01-20,207.85,0.55,0.26,215.00,4.44,4.44,,,,7.00,74.35
BON,2018-01-21,215.29,0.56,0.26,208.00,4.44,4.44,,,,6.00,74.27
BON,2018-01-22,200.51,0.52,0.26,200.90,4.44,4.44,,,,6.50,73.85
BON,2018-01-23,214.11,0.53,0.25,210.70,4.44,4.44,,,,7.00,74.01
BON,2018-01-24,218.82,0.66,0.30,225.80,4.44,4.44,,,,7.00,73.68
BON,2018-01-25,221.11,0.89,0.40,208.00,4.44,4.44,,,,7.00,73.71
BON,2018-01-26,206.57,0.52,0.25,206.90,4.44,4.44,,,,7.00,72.83
BON,2018-01-27,207.03,0.48,0.23,210.10,4.44,4.44,,,,5.00,73.11
BON,2018-01-28,213.83,0.53,0.25,208.70,4.44,4.44,,,,5.00,73.21
