Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2015-01-01,197.93,0.46,0.23,200.40,6.67,6.67,,,,5.00,73.73
BON,2015-01-02,192.50,0.46,0.24,190.80,6.11,6.11,,,,5.00,73.44
BON,2015-01-03,191.26,0.46,0.24,178.00,5.56,5.56,,,,7.00,73.14
BON,2015-01-04,203.99,0.46,0.22,210.60,5.56,5.56,,,,7.00,72.67
BON,2015-01-05,179.10,0.46,0.26,186.40,5.56,5.56,,,,6.00,73.74
BON,2015-01-06,178.98,0.46,0.26,168.70,5.56,5.56,,,,7.00,72.90
BON,2015-01-07,189.82,0.46,0.24,192.30,5.56,5.56,,,,7.00,72.90
BON,2015-01-08,189.79,0.49,0.26,199.70,5.00,5.00,,,,7.00,73.66
BON,2015-01-09,184.97,0.48,0.26,195.70,5.00,5.00,,,,6.00,74.17
BON,2015-01-10,196.39,0.49,0.25,193.90,5.00,5.00,,,,7.00,74.42
BON,2015-01-11,213.71,0.49,0.23,197.70,5.00,5.00,,,,7.00,73.68
BON,2015-01-12,200.48,0.45,0.23,202.30,5.00,5.00,,,,7.00,73.23
BON,2015-01-13,196.82,0.50,0.26,205.30,4.44,4.44,,,,7.00,73.93
BON,2015-01-14,194.76,0.48,0.25,190.80,4.44,4.44,,,,7.00,74.45
BON,2015-01-15,200.77,0.48,0.24,200.00,4.44,4.44,,,,7.00,73.54
BON,2015-01-16,182.14,0.48,0.27,183.50,4.44,4.44,,,,7.00,73.44
BON,2015-01-17,206.16,0.48,0.23,211.10,4.44,4.44,,,,7.00,73.76
BON,2015-01-18,184.54,0.48,0.26,192.40,4.44,4.44,,,,5.00,74.80
BON,2015-01-19,219.85,0.48,0.22,219.30,4.44,4.44,,,,5.00,74.56
BON,2015-01-20,209.12,0.54,0.26,203.90,4.44,4.44,,,,2.50,74.64
BON,2015-01-21,238.89,0.53,0.22,223.20,4.44,4.44,,,,4.50,73.68
BON,2015-01-22,222.60,0.53,0.24,224.90,4.44,4.44,,,,5.00,73.28
BON,2015-01-23,208.85,0.53,0.25,205.70,4.44,4.44,,,,6.00,73.08
BON,2015-01-24,190.66,0.53,0.28,191.20,4.44,4.44,,,,7.00,73.13
BON,2015-01-25,181.76,1.22,0.67,191.50,5.00,5.00,,,,7.00,73.45
BON,2015-01-26,197.65,0.53,0.27,188.30,5.00,5.00,,,,7.00,73.36
BON,2015-01-27,203.49,0.53,0.26,208.00,5.00,5.00,,,,7.00,72.90
BON,2015-01-28,197.85,0.52,0.26,203.30,5.00,5.00,,,,7.00,73.63
BON,2015-01-29,209.28,0.53,0.25,203.70,5.00,5.00,,,,6.00,73.25
BON,2015-01-30,206.36,0.53,0.26,214.80,5.00,5.00,,,,6.00,73.53
BON,2015-01-31,207.99,0.53,0.25,211.00,5.00,5.00,,,,6.00,74.56
BON,2015-02-01,228.19,0.54,0.24,216.30,5.00,5.00,,,,7.00,73.40
BON,2015-02-02,229.63,0.55,0.24,229.40,3.89,3.89,,,,7.00,72.90
BON,2015-02-03,200.93,0.54,0.27,208.30,4.44,4.44,,,,2.00,73.13
BON,2015-02-04,231.70,0.53,0.23,221.20,4.44,4.44,,,,7.00,73.46
BON,2015-02-05,231.66,0.53,0.23,234.40,4.44,4.44,,,,7.00,72.76
BON,2015-02-06,221.12,0.53,0.24,225.60,3.89,3.89,,,,7.00,73.44
BON,2015-02-07,243.68,0.53,0.22,242.10,3.89,3.89,,,,6.00,73.66
BON,2015-02-08,260.30,0.53,0.20,259.40,4.44,4.44,,,,5.00,73.01
BON,2015-02-09,238.81,0.58,0.24,238.70,4.44,4.44,,,,4.00,73.14
BON,2015-02-10,246.05,6.83,2.78,255.50,4.44,4.44,,,,5.00,73.47
