Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2019-01-01,135.71,0.96,0.71,134.80,6.67,6.67,,,,7.00,75.74
BON,2019-01-02,132.28,1.03,0.77,139.50,6.67,6.67,,,,7.00,75.88
BON,2019-01-03,134.95,1.05,0.78,129.00,6.67,6.67,,,,7.00,76.23
BON,2019-01-04,123.05,0.96,0.78,128.70,6.11,6.11,,,,7.00,75.53
BON,2019-01-05,159.12,0.96,0.60,149.90,6.11,6.11,,,,7.00,75.56
BON,2019-01-06,132.61,1.01,0.76,132.50,6.11,6.11,,,,7.00,75.07
BON,2019-01-07,136.48,1.01,0.74,138.90,6.11,6.11,,,,7.00,75.28
BON,2019-01-08,157.92,0.97,0.61,150.60,5.00,5.00,,,,7.00,75.13
BON,2019-01-09,156.84,0.96,0.61,151.00,5.00,5.00,,,,7.00,73.80
BON,2019-01-10,152.93,0.96,0.63,151.70,5.56,5.56,,,,7.00,73.74
BON,2019-01-11,154.73,0.97,0.62,160.80,5.56,5.56,,,,7.00,74.35
BON,2019-01-12,139.69,0.97,0.69,149.80,5.00,5.00,,,,7.00,75.36
BON,2019-01-13,137.27,0.96,0.70,121.40,5.00,5.00,,,,7.00,74.58
BON,2019-01-14,145.75,0.96,0.66,148.00,5.00,5.00,,,,7.00,73.81
BON,2019-01-15,163.43,0.97,0.59,159.40,5.00,5.00,,,,7.00,74.15
BON,2019-01-16,154.72,0.98,0.63,158.20,5.00,5.00,,,,7.00,74.01
BON,2019-01-17,147.60,1.00,0.68,153.00,4.44,4.44,,,,7.00,74.25
BON,2019-01-18,130.78,0.95,0.73,121.80,4.44,4.44,,,,7.00,74.40
BON,2019-01-19,112.83,0.96,0.85,123.60,4.44,4.44,,,,7.00,74.01
BON,2019-01-20,113.21,0.97,0.85,121.70,4.44,4.44,,,,7.00,75.03
BON,2019-01-21,114.13,0.97,0.85,105.70,4.44,4.44,,,,7.00,75.14
BON,2019-01-22,139.54,0.99,0.71,143.60,4.44,4.44,,,,7.00,75.18
BON,2019-01-23,125.70,0.96,0.77,119.60,4.44,4.44,,,,7.00,74.66
BON,2019-01-24,137.71,1.05,0.77,144.00,4.44,4.44,,,,7.00,75.20
BON,2019-01-25,137.82,1.05,0.76,136.00,4.44,4.44,,,,7.00,75.11
BON,2019-01-26,139.71,1.05,0.75,141.10,4.44,4.44,,,,7.00,75.20
BON,2019-01-27,126.39,1.08,0.86,125.20,4.44,4.44,,,,7.00,74.81
BON,2019-01-28,134.24,1.05,0.79,126.40,4.44,4.44,,,,7.00,74.66
BON,2019-01-29,137.68,1.06,0.77,142.60,4.44,4.44,,,,7.00,74.02
BON,2019-01-30,147.20,1.06,0.72,148.80,4.44,4.44,,,,7.00,74.49
BON,2019-01-31,152.18,1.05,0.69,143.90,5.00,5.00,,,,7.00,74.60
BON,2019-02-01,130.01,1.05,0.81,145.10,4.44,4.44,,,,7.00,74.28
BON,2019-02-02,141.41,1.02,0.72,141.90,4.44,4.44,,,,7.00,75.41
BON,2019-02-03,131.03,1.03,0.79,131.60,4.44,4.44,,,,7.00,75.56
BON,2019-02-04,138.05,1.10,0.80,138.70,4.44,4.44,,,,7.00,76.09
BON,2019-02-05,148.41,1.07,0.72,144.40,4.44,4.44,,,,7.00,75.69
BON,2019-02-06,153.25,1.07,0.70,151.70,4.44,4.44,,,,7.00,75.14
BON,2019-02-07,143.29,1.08,0.75,138.40,4.44,4.44,,,,7.00,75.55
BON,2019-02-08,137.34,1.05,0.77,142.30,3.90,,,,,,74.98
BON,2019-02-09,135.81,1.05,0.78,131.00,3.89,3.89,,,,7.00,74.98
BON,2019-02-10,133.76,1.06,0.79,133.00,3.89,3.89,,,,7.00,74.66
BON,2019-02-11,131.10,0.45,0.35,131.10,2.78,2.78,,,,7.00,74.64
BON,2019-02-12,135.11,0.61,0.45,132.10,3.33,3.33,,,,7.00,74.67
BON,2019-02-13,136.75,0.15,0.11,143.80,2.78,2.78,,,,7.00,74.57
BON,2019-02-14,149.89,0.00,0.00,145.90,2.22,2.22,,,,7.00,74.98
BON,2019-02-15,127.09,0.00,0.00,122.70,2.22,2.22,,,,7.00,74.42
BON,2019-02-16,127.77,0.95,0.74,139.90,2.78,2.78,,,,7.00,74.58
BON,2019-02-17,147.26,1.11,0.76,147.20,2.78,2.78,,,,5.00,75.31
BON,2019-02-18,157.16,1.15,0.73,156.10,2.78,2.78,,,,7.00,75.61
BON,2019-02-19,137.89,1.15,0.84,139.10,2.78,2.78,,,,7.00,75.68
BON,2019-02-20,135.98,1.18,0.87,133.00,2.78,2.78,,,,7.00,75.81
BON,2019-02-21,127.40,1.15,0.90,126.70,2.78,2.78,,,,7.00,75.15
