Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2014-01-01,,1,,1,,,1,-1,,,,,,4.4
Bonneville,2014-01-02,,,,1,,,5,,,,,,,4.4
Bonneville,2014-01-03,,,,,,,1,,,,,,,4.4
Bonneville,2014-01-04,,,,1,-1,,-3,-2,,,,,,4.4
Bonneville,2014-01-05,,1,,7,4,,-3,,,,,,,5
Bonneville,2014-01-06,,,,8,4,,,,,,,,,5
Bonneville,2014-01-07,,,,-1,,,2,,,,,,,4.4
Bonneville,2014-01-08,,,,4,-1,,2,1,,,,,,4.4
Bonneville,2014-01-09,,,,6,4,,,,,,,,,4.4
Bonneville,2014-01-10,,,,46,16,,,,,,,,,4.4
Bonneville,2014-01-11,,1,1,19,12,1,,,,,,,,3.9
Bonneville,2014-01-12,,1,,31,14,,,,,,,,,4.4
Bonneville,2014-01-13,,,,29,11,,,,,,,,,5
Bonneville,2014-01-14,,,,24,9,,,,,,,,,5
Bonneville,2014-01-15,,,,11,6,,,,,,,,,5
Bonneville,2014-01-16,,,,,,,,,,,,,,5
Bonneville,2014-01-17,,,,11,6,1,,,,,,,,5
Bonneville,2014-01-18,,,,3,3,,,,,,,,,5
Bonneville,2014-01-19,,,,-2,-3,,,,,,,,,5
Bonneville,2014-01-20,,,,2,,,,,,,,,,4.4
Bonneville,2014-01-21,,,,4,1,,,,,,,,,4.4
Bonneville,2014-01-22,,,,3,1,,,,,,,,,3.9
Bonneville,2014-01-23,,,,3,-1,,,,,,,,,3.9
Bonneville,2014-01-24,,,,,1,,,,,,,,,3.9
Bonneville,2014-01-25,,,,,,,,,,,,,,3.9
Bonneville,2014-01-26,,,,2,,,,,,,,,,3.9
Bonneville,2014-01-27,,,,4,1,,,,,,,,,3.9
Bonneville,2014-01-28,,,,1,1,,,,,,,,,3.9
Bonneville,2014-01-29,,,,3,2,,,,,,,,,3.9
Bonneville,2014-01-30,,,,14,5,,,,,,,,,4.4
Bonneville,2014-01-31,,,,3,-1,,,,,,,,,4.4
Bonneville,2014-02-01,,,,7,2,,,,,,,,,4.4
Bonneville,2014-02-02,,,,4,3,,,,,,,,,5
Bonneville,2014-02-03,,,,4,3,,,,,,,,,5
Bonneville,2014-02-04,,,,1,,,,,,,,,,4.4
Bonneville,2014-02-05,,,,,,,,,,,,,,3.9
