Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2015-01-01,,,,15,9,,,,,,,,,6.4
Bonneville,2015-01-02,,,,24,11,,,,,,,,,5.8
Bonneville,2015-01-03,,,,23,10,,,,,,,,,5.6
Bonneville,2015-01-04,,,,17,7,,,,,,,,,5.6
Bonneville,2015-01-05,,,,35,20,,,,,,,,,5.6
Bonneville,2015-01-06,,,,54,24,,,,,,,,,5.6
Bonneville,2015-01-07,,,,26,13,,,,,,,,,5.3
Bonneville,2015-01-08,,,,22,8,,,,,,,,,5
Bonneville,2015-01-09,,,,13,6,,,,,,,,,5
Bonneville,2015-01-10,,,,9,7,,,,,,,,,5
Bonneville,2015-01-11,,,,19,11,,,,,,,,,5
Bonneville,2015-01-12,,,,12,4,,,,,,,,,4.7
Bonneville,2015-01-13,,,,20,10,,,,,,,,,4.4
Bonneville,2015-01-14,,,,25,9,,,,,,,,,4.4
Bonneville,2015-01-15,,,,16,6,,,,,,,,,4.4
Bonneville,2015-01-16,,,,13,9,,,,,,,,,4.4
Bonneville,2015-01-17,,,,29,12,,,,,,,,,4.4
Bonneville,2015-01-18,,,,41,18,,,,,,,,,4.4
Bonneville,2015-01-19,,,,36,12,,,,,,,,,4.4
Bonneville,2015-01-20,,,,38,22,,,,,,,,,4.4
Bonneville,2015-01-21,,,,15,8,,,,,,,,,4.4
Bonneville,2015-01-22,,,,12,7,,,,,,,,,4.4
Bonneville,2015-01-23,,,,14,7,,,,,,,,,4.4
Bonneville,2015-01-24,,,,13,3,,,,,,,,,4.7
Bonneville,2015-01-25,,,,11,4,,,,,,,,,5
Bonneville,2015-01-26,,,,18,12,,,,,,,,,5
Bonneville,2015-01-27,,,,9,6,,,,,,,,,5
Bonneville,2015-01-28,,,,16,9,,,,,,,,,5
Bonneville,2015-01-29,,,,9,9,,,,,,,,,5
Bonneville,2015-01-30,,,,7,2,,,,,,,,,5
Bonneville,2015-01-31,,,,,1,,,,,,,,,5
Bonneville,2015-02-01,,,,4,2,,,,,,,,,4.4
Bonneville,2015-02-02,,,,6,3,,,,,,,,,4.2
Bonneville,2015-02-03,,,,8,5,1,,,,,,,,4.4
Bonneville,2015-02-04,,,,18,14,,,,,,,,,4.4
Bonneville,2015-02-05,,,,1,2,,,,,,,,,4.2
Bonneville,2015-02-06,,,,9,1,,,,,,,,,3.9
Bonneville,2015-02-07,,,,13,11,,,,,,,,,4.2
Bonneville,2015-02-08,,1,,41,28,,,,,,,,,4.4
Bonneville,2015-02-09,,,,34,19,,,,,,,,,4.4
Bonneville,2015-02-10,,,,27,9,,,,,,,,,4.7
Bonneville,2015-02-11,,,,28,18,,,,,,,,,5
Bonneville,2015-02-12,,,,19,8,,,,,,,,,5
Bonneville,2015-02-13,,,,30,15,,,,,,,,,5
Bonneville,2015-02-14,,,,24,9,,,,,,,,,5
Bonneville,2015-02-15,,,,29,15,,,,,,,,,5
Bonneville,2015-02-16,,,,15,4,,,,,,,,,5
Bonneville,2015-02-17,,,,15,7,,,,,,,,,5
Bonneville,2015-02-18,,,,13,8,,,,,,,,,5
Bonneville,2015-02-19,,,,7,6,,,,,,,,,5.3
Bonneville,2015-02-20,,,,45,21,,,,,,,,,5.6
Bonneville,2015-02-21,,,,42,21,,,,,,,,,5.6
Bonneville,2015-02-22,,,,33,23,,,,,,,,,5.6
Bonneville,2015-02-23,,,,18,10,,,,,,,,,5.6
Bonneville,2015-02-24,,,,26,18,,,,,,,,,5.6
Bonneville,2015-02-25,,,,63,34,,,,,,,,,5.6
Bonneville,2015-02-26,,1,,70,33,,,,,,,,,5.6
Bonneville,2015-02-27,,6,,106,55,,,,,,,,,5.6
Bonneville,2015-02-28,,1,,65,22,,,,,,,,,5.6
Bonneville,2015-03-01,,3,,68,30,,,,,,,,,5.6
Bonneville,2015-03-02,,10,,59,31,,,,,,,,,5.6
Bonneville,2015-03-03,,19,,32,19,,,,,,,,,5.6
Bonneville,2015-03-04,,10,,35,15,,,,,,,,,5.6
Bonneville,2015-03-05,,14,,23,13,,,,,,,,,5.6
Bonneville,2015-03-06,,9,,30,24,,,,,,,,,5.6
Bonneville,2015-03-07,,11,1,8,6,,,,,,,,,5.6
Bonneville,2015-03-08,,5,,21,14,,,,,,,,,5.6
Bonneville,2015-03-09,,13,1,56,26,,,,,,,,,5.6
Bonneville,2015-03-10,,35,,52,31,,,,,,,,,5.6
Bonneville,2015-03-11,,32,,27,14,,,,,,,,,6.1
Bonneville,2015-03-12,,33,,64,35,,,,,,,,,6.1
Bonneville,2015-03-13,,13,,56,36,,,,,,,,,6.7
Bonneville,2015-03-14,,14,,49,26,,,,,,,,,6.7
Bonneville,2015-03-15,Sp,17,,149,88,,,,,,,,,6.7
Bonneville,2015-03-16,Sp,38,,140,80,,,,,,,,,6.7
Bonneville,2015-03-17,Sp,8,,88,47,,,,,,,,,7.2
Bonneville,2015-03-18,Sp,36,,71,47,,,,,,,,,7.5
Bonneville,2015-03-19,Sp,37,1,67,38,,,,,,,,,7.6
Bonneville,2015-03-20,Sp,48,,51,22,,,,,,,,,7.7
