Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2019-01-01,,,,7,2,,2,,,,,,,6.7
Bonneville,2019-01-02,,,,19,7,,,1,,-1,,,,6.7
Bonneville,2019-01-03,,,,8,4,,1,,,,,,,6.7
Bonneville,2019-01-04,,,,18,12,,,,,,,,,6.1
Bonneville,2019-01-05,,,,11,6,,,,,,,,,6.1
Bonneville,2019-01-06,,,,8,1,,1,,,,,,,6.1
Bonneville,2019-01-07,,,,7,5,,,,,,,,,6.1
Bonneville,2019-01-08,,,,1,-2,,,,,,,,,5
Bonneville,2019-01-09,,,,2,,,,,,,,,,5
Bonneville,2019-01-10,,,,6,1,,,,,,,,,5.6
Bonneville,2019-01-11,,,,9,7,,,,,-1,,,,5.6
Bonneville,2019-01-12,,,,4,-2,,,,,,,,,5
Bonneville,2019-01-13,,,,5,4,,,,,,,,,5
Bonneville,2019-01-14,,,,,-2,,,,,,,,,5
Bonneville,2019-01-15,,,,3,,,,,,,,,,5
Bonneville,2019-01-16,,,,4,1,,,,,,,,,5
Bonneville,2019-01-17,,,,1,,,,,,1,,,,4.4
Bonneville,2019-01-18,,,,5,1,,,,,-1,,,,4.4
Bonneville,2019-01-19,,,,9,4,,,,,-1,,,,4.4
Bonneville,2019-01-20,,,,9,4,,,,,,,,,4.4
Bonneville,2019-01-21,,,,3,1,,1,,,-1,,,,4.4
Bonneville,2019-01-22,,,,9,6,,,,,-4,,,,4.4
Bonneville,2019-01-23,,,,6,5,,-1,,,,,,,4.4
Bonneville,2019-01-24,,,,4,1,,,,,-2,,,,4.4
Bonneville,2019-01-25,,,,2,1,,,,,-1,,,,4.4
Bonneville,2019-01-26,,,,2,1,,,,,,,,,4.4
Bonneville,2019-01-27,,,,,1,,,,,-1,,,,4.4
Bonneville,2019-01-28,,,,3,2,,,,,,,,,4.4
Bonneville,2019-01-29,,,,8,4,,,,,,,,,4.4
Bonneville,2019-01-30,,,,8,7,,,,,-1,,,,4.4
Bonneville,2019-01-31,,,,2,1,,,,,-3,,,,5
Bonneville,2019-02-01,,,,3,2,,,,,-1,,,,4.4
Bonneville,2019-02-02,,,,3,2,,,,,-1,,,,4.4
Bonneville,2019-02-03,,,,6,4,,,,,-1,,,,4.4
Bonneville,2019-02-04,,,,1,,,,,,,,,,4.4
