Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2020-01-01,118.30,0.55,0.46,130.20,6.11,6.11,,,,7.00,72.62
BON,2020-01-02,121.49,0.53,0.43,120.80,6.11,6.11,,,,7.00,73.20
BON,2020-01-03,123.91,0.53,0.42,121.70,6.11,6.11,,,,7.00,72.87
BON,2020-01-04,120.77,0.50,0.41,121.80,6.11,6.11,,,,7.00,72.81
BON,2020-01-05,122.65,0.53,0.43,122.50,6.11,6.11,,,,7.00,73.01
BON,2020-01-06,117.80,0.53,0.45,125.40,6.11,6.11,,,,7.00,73.10
BON,2020-01-07,114.79,0.53,0.46,116.00,6.11,6.11,,,,6.00,73.71
BON,2020-01-08,114.82,0.55,0.48,128.50,6.11,6.11,,,,6.00,74.23
BON,2020-01-09,131.75,0.53,0.40,128.20,6.11,6.11,,,,6.00,75.25
BON,2020-01-10,157.81,0.55,0.35,159.00,6.11,6.11,,,,7.00,74.59
BON,2020-01-11,141.88,0.53,0.37,136.30,6.11,6.11,,,,7.00,74.50
BON,2020-01-12,135.73,0.53,0.39,128.50,5.56,5.56,,,,7.00,74.38
BON,2020-01-13,146.59,0.53,0.36,148.00,5.56,5.56,,,,6.00,73.67
BON,2020-01-14,163.82,0.53,0.32,169.60,5.56,5.56,,,,7.00,73.73
BON,2020-01-15,158.59,0.53,0.34,160.00,5.56,5.56,,,,7.00,74.30
BON,2020-01-16,168.72,0.56,0.33,161.10,5.00,5.00,,,,7.00,73.89
BON,2020-01-17,171.14,0.56,0.33,170.00,4.44,4.44,,,,7.00,73.26
BON,2020-01-18,166.20,0.53,0.32,168.60,4.44,4.44,,,,7.00,73.61
BON,2020-01-19,132.45,0.54,0.41,130.20,4.44,4.44,,,,7.00,73.95
BON,2020-01-20,138.10,0.52,0.38,145.10,4.44,4.44,,,,7.00,73.54
BON,2020-01-21,142.36,0.53,0.37,149.50,4.44,4.44,,,,7.00,74.33
BON,2020-01-22,156.26,0.55,0.35,157.00,4.44,4.44,,,,7.00,74.60
BON,2020-01-23,165.72,0.52,0.31,168.20,4.44,4.44,,,,7.00,74.91
BON,2020-01-24,188.82,0.58,0.30,188.50,4.44,4.44,,,,7.00,74.86
BON,2020-01-25,188.90,0.55,0.29,194.70,5.00,5.00,,,,7.00,75.35
BON,2020-01-26,178.34,0.57,0.32,168.70,4.44,4.44,,,,7.00,74.94
BON,2020-01-27,168.28,0.56,0.33,170.90,4.44,4.44,,,,7.00,75.11
BON,2020-01-28,181.93,0.59,0.32,186.30,4.44,4.44,,,,7.00,75.48
BON,2020-01-29,199.27,0.58,0.29,192.60,4.44,4.44,,,,7.00,75.15
BON,2020-01-30,177.16,0.58,0.33,174.10,4.44,4.44,,,,7.00,74.29
BON,2020-01-31,177.39,0.58,0.33,173.90,3.89,3.89,,,,7.00,74.34
BON,2020-02-01,153.02,0.58,0.38,155.00,3.89,3.89,,,,7.00,74.51
BON,2020-02-02,157.53,0.58,0.37,158.60,4.44,4.44,,,,,74.46
BON,2020-02-03,170.98,0.58,0.34,162.40,4.44,4.44,,,,7.00,74.30
BON,2020-02-04,180.74,7.88,4.36,198.60,4.44,4.44,,,,7.00,74.50
BON,2020-02-05,206.08,0.58,0.28,188.90,3.89,3.89,,,,7.00,74.59
BON,2020-02-06,213.09,0.53,0.25,206.30,3.89,3.89,,,,7.00,73.21
BON,2020-02-07,223.53,0.58,0.26,227.80,3.89,3.89,,,,7.00,73.55
BON,2020-02-08,235.62,0.58,0.24,248.90,4.44,4.44,,,,5.00,74.40
BON,2020-02-09,241.45,0.58,0.24,231.80,4.44,4.44,,,,6.00,74.17
BON,2020-02-10,233.06,0.00,0.00,234.30,4.44,4.44,,,,6.00,73.88
BON,2020-02-11,218.91,0.00,0.00,211.80,4.44,4.44,,,,7.00,73.57
BON,2020-02-12,204.83,0.18,0.09,218.50,3.89,3.89,,,,5.00,74.12
BON,2020-02-13,203.25,0.58,0.28,208.10,4.44,4.44,,,,5.00,74.76
BON,2020-02-14,208.97,0.57,0.27,204.00,4.44,4.44,,,,5.50,74.31
BON,2020-02-15,215.27,0.61,0.28,209.60,4.44,4.44,,,,4.00,74.03
BON,2020-02-16,184.82,0.63,0.34,176.80,4.44,4.44,,,,1.00,73.71
BON,2020-02-17,193.10,0.63,0.32,202.10,3.89,3.89,,,,1.00,73.69
BON,2020-02-18,205.50,0.62,0.30,206.70,4.44,4.44,,,,0.50,74.13
BON,2020-02-19,190.77,0.63,0.33,185.30,4.44,4.44,,,,0.30,73.98
BON,2020-02-20,172.06,0.63,0.36,173.70,4.44,4.44,,,,0.30,73.82
BON,2020-02-21,171.80,0.63,0.36,170.80,3.89,3.89,,,,1.00,73.91
BON,2020-02-22,164.19,0.62,0.38,162.90,4.44,4.44,,,,1.00,73.69
BON,2020-02-23,142.57,0.63,0.44,142.60,4.44,4.44,,,,1.00,73.70
BON,2020-02-24,145.36,0.61,0.42,151.80,4.44,4.44,,,,1.00,73.88
BON,2020-02-25,161.58,0.63,0.39,167.90,5.00,5.00,,,,2.00,74.48
BON,2020-02-26,172.16,0.63,0.36,166.30,5.00,5.00,,,,4.00,74.33
BON,2020-02-27,172.76,0.83,0.48,169.70,5.00,5.00,,,,3.00,73.92
BON,2020-02-28,163.48,1.23,0.75,171.30,5.00,5.00,,,,3.00,74.33
BON,2020-02-29,170.05,1.20,0.70,174.30,5.00,5.00,,,,4.00,74.77
BON,2020-03-01,161.74,1.20,0.74,156.20,5.00,5.00,,,,4.00,74.69
BON,2020-03-02,147.03,1.29,0.88,144.60,5.00,5.00,,,,4.00,74.63
BON,2020-03-03,139.05,1.30,0.93,142.50,5.00,5.00,,,,4.00,74.66
BON,2020-03-04,163.16,1.30,0.79,160.00,5.00,5.00,,,,5.00,74.56
BON,2020-03-05,163.85,1.30,0.79,161.10,5.56,5.56,,,,4.00,74.39
BON,2020-03-06,156.54,1.23,0.79,160.60,5.56,5.56,,,,5.00,74.50
BON,2020-03-07,145.33,1.29,0.89,146.70,5.56,5.56,,,,5.00,74.60
BON,2020-03-08,152.58,1.39,0.91,144.60,5.56,5.56,,,,5.00,74.46
BON,2020-03-09,154.80,1.28,0.82,165.70,5.56,5.56,,,,6.00,74.22
BON,2020-03-10,150.85,1.29,0.85,143.90,5.56,5.56,,,,6.00,74.47
BON,2020-03-11,126.41,1.31,1.04,122.10,5.56,5.56,,,,5.00,74.21
BON,2020-03-12,119.42,1.30,1.09,132.50,6.27,6.27,763.00,789.63,103.49,7.00,74.29
BON,2020-03-13,122.23,1.30,1.06,123.50,6.31,6.31,754.13,786.50,104.30,7.00,75.09
BON,2020-03-14,127.42,1.30,1.02,129.60,6.23,6.23,755.83,781.54,103.41,7.00,75.65
BON,2020-03-15,131.17,1.30,0.99,126.10,5.96,5.96,762.17,774.33,101.60,6.00,75.08
BON,2020-03-16,130.25,1.33,1.02,136.30,5.84,5.84,762.63,775.21,101.65,5.00,74.98
BON,2020-03-17,129.71,1.34,1.03,131.70,5.96,5.96,755.67,778.63,103.04,4.00,75.38
BON,2020-03-18,128.28,1.32,1.03,113.10,6.16,6.16,755.42,783.33,103.70,4.00,75.09
BON,2020-03-19,128.59,1.30,1.01,120.60,6.45,6.45,758.58,787.79,103.85,,73.80
BON,2020-03-20,127.44,1.29,1.01,126.30,6.75,6.75,763.96,791.46,103.60,6.00,73.19
BON,2020-03-21,127.84,1.26,0.99,119.90,6.91,6.91,763.67,794.54,104.04,5.00,72.65
BON,2020-03-22,127.15,1.25,0.99,124.80,7.02,7.02,760.00,793.25,104.38,5.00,72.63
BON,2020-03-23,124.23,1.30,1.04,136.10,7.12,7.12,755.75,789.58,104.48,4.00,72.87
BON,2020-03-24,125.83,1.31,1.04,118.90,7.08,7.08,757.58,786.58,103.83,5.00,73.40
BON,2020-03-25,125.34,1.08,0.86,143.60,7.05,7.05,759.54,785.46,103.41,5.00,73.10
BON,2020-03-26,124.45,1.29,1.03,119.30,6.93,6.93,760.92,783.46,102.96,5.00,74.27
BON,2020-03-27,124.22,1.29,1.04,127.60,6.74,6.74,760.17,781.13,102.76,5.00,74.08
BON,2020-03-28,125.43,1.29,1.03,122.60,6.83,6.83,759.96,782.42,102.96,5.00,74.19
BON,2020-03-29,127.05,1.32,1.04,127.80,7.16,7.16,756.63,787.63,104.10,,74.21
BON,2020-03-30,126.13,1.35,1.07,132.20,7.36,7.36,755.88,789.96,104.51,5.00,74.34
BON,2020-03-31,150.21,1.29,0.86,139.20,7.35,7.35,759.83,790.92,104.09,5.00,74.13
BON,2020-04-01,145.19,1.28,0.88,151.50,7.39,7.39,760.88,793.00,104.22,4.00,74.17
BON,2020-04-02,146.51,1.28,0.88,151.30,7.53,7.53,764.04,794.13,103.94,6.00,74.55
BON,2020-04-03,127.11,1.49,1.17,117.10,7.51,7.51,761.58,791.46,103.92,6.00,74.49
BON,2020-04-04,125.62,1.48,1.18,130.60,7.64,7.64,752.75,789.42,104.87,6.00,74.03
BON,2020-04-05,128.05,1.48,1.16,138.00,7.76,7.76,749.08,787.75,105.16,6.00,74.56
BON,2020-04-06,126.68,1.49,1.17,115.40,7.96,7.96,756.04,794.33,105.07,6.00,74.85
BON,2020-04-07,123.67,1.48,1.20,118.10,8.22,8.22,763.04,794.79,104.16,6.00,73.63
BON,2020-04-08,126.08,1.38,1.09,141.20,8.54,8.54,763.71,793.29,103.87,7.00,74.40
BON,2020-04-09,124.99,1.50,1.20,131.30,8.85,8.85,760.29,796.75,104.80,6.00,75.42
BON,2020-04-10,144.57,95.38,65.98,133.80,9.18,9.18,759.63,804.13,105.86,6.00,75.30
BON,2020-04-11,142.79,99.01,69.34,143.80,9.29,9.29,761.38,795.83,104.53,6.00,74.81
