Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2017-01-01,161.46,1.08,0.67,160.10,3.89,3.89,,,,7.00,74.03
BON,2017-01-02,176.78,1.05,0.59,172.10,4.44,4.44,,,,7.00,73.62
BON,2017-01-03,167.29,0.97,0.58,173.90,4.44,4.44,,,,7.00,73.83
BON,2017-01-04,175.93,1.03,0.58,166.20,3.89,3.89,,,,7.00,73.71
BON,2017-01-05,202.59,1.02,0.50,197.30,3.89,3.89,,,,7.00,72.79
BON,2017-01-06,189.61,0.99,0.52,198.50,3.89,3.89,,,,7.00,73.05
BON,2017-01-07,190.73,1.00,0.53,185.90,3.33,3.33,,,,7.00,73.20
BON,2017-01-08,182.34,1.01,0.55,183.20,2.78,2.78,,,,4.00,73.25
BON,2017-01-09,168.51,0.96,0.57,169.40,2.78,2.78,,,,6.00,72.83
BON,2017-01-10,170.23,0.97,0.57,171.80,2.22,2.22,,,,7.00,73.08
BON,2017-01-11,182.60,1.00,0.55,180.80,2.22,2.22,,,,7.00,73.04
BON,2017-01-12,200.50,0.96,0.48,190.80,2.22,2.22,,,,7.00,72.50
BON,2017-01-13,186.40,0.74,0.40,190.20,1.70,,,,,,72.44
BON,2017-01-14,173.55,1.06,0.61,171.80,1.67,1.67,,,,7.00,72.77
BON,2017-01-15,178.74,0.52,0.29,189.00,1.11,1.11,,,,7.00,72.73
BON,2017-01-16,191.51,0.55,0.29,174.40,0.56,0.56,,,,7.00,72.75
BON,2017-01-17,181.28,0.51,0.28,188.90,0.56,0.56,,,,7.00,72.23
BON,2017-01-18,181.78,0.73,0.40,181.70,0.56,0.56,,,,7.00,72.73
BON,2017-01-19,178.13,0.87,0.49,180.20,0.56,0.56,,,,7.00,72.55
BON,2017-01-20,175.96,4.60,2.62,173.80,0.56,0.56,,,,7.00,72.68
BON,2017-01-21,158.18,0.53,0.34,166.30,0.56,0.56,,,,6.00,72.86
BON,2017-01-22,154.08,0.53,0.34,155.00,0.60,,,,,,73.54
BON,2017-01-23,158.28,0.81,0.51,172.10,0.56,0.56,,,,7.00,73.83
BON,2017-01-24,177.74,1.20,0.68,172.60,0.56,0.56,,,,7.00,74.86
BON,2017-01-25,178.42,1.11,0.62,168.40,0.56,0.56,,,,7.00,73.13
BON,2017-01-26,162.78,1.01,0.62,158.30,1.11,1.11,,,,7.00,72.95
BON,2017-01-27,157.50,0.50,0.32,167.10,1.11,1.11,,,,7.00,73.27
BON,2017-01-28,154.95,0.54,0.35,146.80,1.11,1.11,,,,7.00,73.41
BON,2017-01-29,137.00,0.52,0.38,143.10,1.11,1.11,,,,7.00,73.38
BON,2017-01-30,138.05,0.63,0.45,143.30,1.11,1.11,,,,7.00,73.50
BON,2017-01-31,160.97,0.69,0.43,157.50,1.67,1.67,,,,7.00,74.24
BON,2017-02-01,163.62,0.69,0.42,158.30,1.67,1.67,,,,7.00,73.59
BON,2017-02-02,163.20,0.70,0.43,160.50,1.67,1.67,,,,7.00,73.04
BON,2017-02-03,159.83,0.47,0.29,164.90,1.11,1.11,,,,6.50,73.48
BON,2017-02-04,168.93,0.52,0.31,176.40,1.11,1.11,,,,7.00,73.76
BON,2017-02-05,179.42,0.53,0.29,178.60,1.11,1.11,,,,7.00,74.51
BON,2017-02-06,172.96,0.64,0.37,170.40,1.11,1.11,,,,7.00,74.33
