Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2018-01-01,,,,5,4,,1,-1,,,,,,5
Bonneville,2018-01-02,,1,,4,1,,,,,,,,,5
Bonneville,2018-01-03,,,,3,1,,-1,,,,,,,4.4
Bonneville,2018-01-04,,,,5,2,,,,,-1,,,,4.4
Bonneville,2018-01-05,,,,10,3,,,,,,,,,3.9
Bonneville,2018-01-06,,,,3,2,,,,,-1,,,,3.9
Bonneville,2018-01-07,,,,1,,,,,,,,,,4.4
Bonneville,2018-01-08,,1,,4,3,,,,,,,,,4.4
Bonneville,2018-01-09,,,,2,,,,,,,,,,4.4
Bonneville,2018-01-10,,,,2,,,,,,-1,,,,4.4
Bonneville,2018-01-11,,,,23,13,,,,,,,,,4.4
Bonneville,2018-01-12,,,,27,10,,,,,,,,,3.9
Bonneville,2018-01-13,,,,11,8,,1,,,,,,,3.9
Bonneville,2018-01-14,,,,6,,,,,,,,,,
Bonneville,2018-01-15,,,,14,5,,,,,,,,,
Bonneville,2018-01-16,,,,6,3,,,,,,,,,3.9
Bonneville,2018-01-17,,,,8,3,,,,,-1,,,,4.4
Bonneville,2018-01-18,,,,8,2,,,,,,,,,4.4
Bonneville,2018-01-19,,,,9,4,,,,,,,,,4.4
Bonneville,2018-01-20,,,,15,8,,,,,,,,,4.4
Bonneville,2018-01-21,,,,4,1,,,,,,,,,4.4
Bonneville,2018-01-22,,,,9,6,,,,,-1,,,,4.4
Bonneville,2018-01-23,,,,2,1,,,,,,,,,4.4
Bonneville,2018-01-24,,,,4,2,,,,,,,,,4.4
Bonneville,2018-01-25,,,,4,4,,,,,,,,,4.4
Bonneville,2018-01-26,,,,1,1,,,,,,,,,4.4
Bonneville,2018-01-27,,,,6,3,,,,,,,,,4.4
Bonneville,2018-01-28,,,,9,3,,,,,,,,,4.4
Bonneville,2018-01-29,,,,12,5,,,,,,,,,4.4
Bonneville,2018-01-30,,,,15,8,,,,,,,,,4.4
Bonneville,2018-01-31,,,,6,,,,,,,,,,4.4
Bonneville,2018-02-01,,,,12,6,,,,,,,,,4.4
Bonneville,2018-02-02,,,,10,4,,,,,,,,,4.4
Bonneville,2018-02-03,,,,20,4,,,,,,,,,4.4
Bonneville,2018-02-04,,,,30,14,,,,,,,,,5
