Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2021-01-01,167.78,0.49,0.29,159.10,5.56,5.56,,,,7.00,74.64
BON,2021-01-02,144.70,0.48,0.33,152.00,5.56,5.56,,,,7.00,74.67
BON,2021-01-03,131.71,0.48,0.37,134.60,5.56,5.56,,,,7.00,75.29
BON,2021-01-04,148.38,0.48,0.32,149.50,6.11,6.11,,,,7.00,75.22
BON,2021-01-05,184.68,0.48,0.26,174.30,6.11,6.11,,,,7.00,74.73
BON,2021-01-06,183.04,0.49,0.27,184.20,6.11,6.11,,,,7.00,73.93
BON,2021-01-07,184.45,0.48,0.26,188.00,6.11,6.11,,,,7.00,74.27
BON,2021-01-08,177.96,0.48,0.27,180.40,6.11,6.11,,,,7.00,74.43
BON,2021-01-09,185.00,0.48,0.26,185.10,5.56,5.56,,,,7.00,74.61
BON,2021-01-10,170.62,0.48,0.28,169.50,5.56,5.56,,,,7.00,74.51
BON,2021-01-11,175.58,0.49,0.28,178.90,5.56,5.56,,,,7.00,74.43
BON,2021-01-12,202.66,0.48,0.24,202.10,5.56,5.56,,,,7.00,74.47
BON,2021-01-13,225.49,6.02,2.67,231.60,5.56,5.56,,,,4.00,75.50
BON,2021-01-14,249.07,5.04,2.02,230.00,5.56,5.56,,,,1.50,73.55
BON,2021-01-15,212.79,1.03,0.49,201.20,5.56,5.56,,,,2.00,72.84
BON,2021-01-16,181.37,0.49,0.27,197.70,5.56,5.56,,,,2.00,72.88
BON,2021-01-17,174.57,0.48,0.28,169.20,5.56,5.56,,,,5.00,73.42
BON,2021-01-18,171.72,0.48,0.28,171.40,5.56,5.56,,,,6.00,73.55
BON,2021-01-19,184.05,0.49,0.27,183.00,6.11,6.11,,,,6.00,73.51
BON,2021-01-20,178.88,0.54,0.30,184.40,6.11,6.11,,,,7.00,73.55
BON,2021-01-21,169.96,0.54,0.32,169.80,5.56,5.56,,,,6.00,73.79
BON,2021-01-22,169.88,0.53,0.31,168.50,5.56,5.56,,,,7.00,73.52
BON,2021-01-23,171.94,0.53,0.31,171.00,5.56,5.56,,,,7.00,74.05
BON,2021-01-24,183.88,0.53,0.29,180.40,5.56,5.56,,,,7.00,73.53
BON,2021-01-25,182.72,0.53,0.29,184.60,5.56,5.56,,,,7.00,73.42
BON,2021-01-26,181.36,0.53,0.29,181.20,5.00,5.00,,,,7.00,73.55
BON,2021-01-27,189.69,0.53,0.28,189.90,5.00,5.00,,,,7.00,73.26
BON,2021-01-28,182.88,0.53,0.29,176.80,4.44,4.44,,,,7.00,73.12
BON,2021-01-29,189.00,0.53,0.28,198.00,4.44,4.44,,,,7.00,73.38
BON,2021-01-30,188.11,0.53,0.28,186.70,4.44,4.44,,,,7.00,73.65
BON,2021-01-31,174.05,0.53,0.30,179.20,4.44,4.44,,,,7.00,73.65
BON,2021-02-01,159.25,0.53,0.33,149.70,4.44,4.44,,,,7.00,73.76
BON,2021-02-02,162.92,0.71,0.44,166.80,4.44,4.44,,,,7.00,73.10
BON,2021-02-03,179.80,0.53,0.29,181.00,4.44,4.44,,,,7.00,73.68
BON,2021-02-04,167.80,0.53,0.32,161.30,4.44,4.44,,,,7.00,73.10
BON,2021-02-05,139.25,0.53,0.38,143.00,4.44,4.44,,,,7.00,73.68
BON,2021-02-06,158.83,0.53,0.33,162.50,4.44,4.44,,,,7.00,73.79
BON,2021-02-07,137.27,0.53,0.39,139.20,4.44,4.44,,,,5.00,74.25
BON,2021-02-08,157.29,0.53,0.34,158.80,4.44,4.44,,,,7.00,74.07
BON,2021-02-09,166.48,0.53,0.32,161.40,4.44,4.44,,,,7.00,73.76
